TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:26:00,2.045,2.045,2.045,2.045,2000,2000,0,
20180102 09:30:00,2.05,2.05,2,2.05,17321,12321,0,
20180102 09:32:00,2.0334,2.0334,2.0334,2.0334,18322,1000,0,
20180102 09:34:00,2.025,2.05,2.025,2.025,29372,11050,0,
20180102 09:35:00,2.05,2.05,2.05,2.05,41238,11780,0,
20180102 09:36:00,2.05,2.075,2.05,2.075,54982,13687,0,
20180102 09:38:00,2.1,2.1,2.1,2.1,55082,100,0,
20180102 09:39:00,2.075,2.075,2.075,2.075,60182,5100,0,
20180102 09:40:00,2.08,2.08,2.075,2.075,61132,950,0,
20180102 09:43:00,2.0647,2.0647,2.0647,2.0647,61232,100,0,
20180102 09:44:00,2.075,2.075,2.075,2.075,61332,100,0,
20180102 09:45:00,2.0751,2.0751,2.075,2.075,65432,4100,0,
20180102 09:47:00,2.0591,2.0591,2.055,2.055,65832,400,0,
20180102 09:50:00,2.0591,2.075,2.0591,2.075,66782,400,0,
20180102 09:51:00,2.05,2.05,2.05,2.05,73329,6500,0,
20180102 09:54:00,2.1,2.1,2.05,2.05,73546,217,0,
20180102 09:55:00,2.05,2.05,2.05,2.05,73747,200,0,
20180102 09:57:00,2.09,2.1,2.0751,2.0751,85251,11500,0,
20180102 09:58:00,2.1,2.1,2.1,2.1,85351,100,0,
20180102 09:59:00,2.1,2.1,2.1,2.1,91541,6097,0,
20180102 10:00:00,2.05,2.05,2.05,2.05,91871,250,0,
20180102 10:01:00,2.1,2.1,2.1,2.1,91971,100,0,
20180102 10:02:00,2.075,2.075,2.05,2.05,94426,2455,0,
20180102 10:03:00,2.075,2.075,2.075,2.075,94676,250,0,
20180102 10:05:00,2.075,2.1,2.075,2.1,95296,499,0,
20180102 10:06:00,2.1,2.1,2.1,2.1,98496,3200,0,
20180102 10:09:00,2.1,2.1,2.1,2.1,98696,200,0,
20180102 10:12:00,2.1,2.1,2.1,2.1,112398,13482,0,
20180102 10:13:00,2.1,2.1,2.1,2.1,112538,100,0,
20180102 10:17:00,2.1,2.1,2.1,2.1,112805,100,0,
20180102 10:19:00,2.0752,2.0752,2.0752,2.0752,113035,230,0,
20180102 10:21:00,2.075,2.1,2.075,2.1,117231,4000,0,
