TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,0.975,0.975,0.975,0.975,610,610,0,
20180102 09:34:00,0.95,0.95,0.95,0.95,841,200,0,
20180102 09:35:00,0.9502,0.9502,0.9501,0.9501,2041,1200,0,
20180102 09:39:00,0.95,0.9501,0.95,0.9501,4270,2200,0,
20180102 09:44:00,0.9502,0.9502,0.9502,0.9502,6826,2551,0,
20180102 09:45:00,0.96,0.9699,0.96,0.9699,7226,300,0,
20180102 09:49:00,0.9656,0.9656,0.9602,0.9602,8447,1200,0,
20180102 09:55:00,0.96,0.975,0.96,0.975,9889,1420,0,
20180102 09:56:00,0.9799,0.98,0.9601,0.9601,15144,5200,0,
20180102 10:00:00,0.97,0.99,0.97,0.99,16950,1806,0,
20180102 10:03:00,0.9899,0.9899,0.9899,0.9899,17060,100,0,
20180102 10:04:00,0.988,0.988,0.97,0.97,17576,515,0,
20180102 10:05:00,0.9846,0.9846,0.9602,0.9602,19666,2090,0,
20180102 10:07:00,0.99,0.99,0.9899,0.9899,20576,900,0,
20180102 10:08:00,0.9779,0.987,0.97,0.97,21876,1300,0,
20180102 10:11:00,0.9784,0.9784,0.9784,0.9784,22676,800,0,
20180102 10:13:00,0.9874,0.9874,0.9874,0.9874,23476,800,0,
20180102 10:23:00,0.9799,0.9799,0.9602,0.9602,23887,305,0,
20180102 10:27:00,0.98,0.98,0.9602,0.9602,34892,11000,0,
20180102 10:51:00,0.9697,0.9697,0.9697,0.9697,35948,1000,0,
20180102 10:55:00,0.9743,0.9743,0.9602,0.9602,37150,1200,0,
20180102 11:03:00,0.962,0.962,0.9602,0.9602,40159,3000,0,
20180102 11:04:00,0.9779,0.9779,0.9779,0.9779,40259,100,0,
20180102 11:12:00,0.9601,0.9601,0.96,0.96,45859,5600,0,
20180102 11:27:00,0.9739,0.9739,0.9739,0.9739,45959,100,0,
20180102 11:40:00,0.9618,0.9618,0.9618,0.9618,47512,1500,0,
20180102 11:50:00,0.97,0.97,0.97,0.97,48022,500,0,
20180102 11:51:00,0.97,0.97,0.96,0.965,50819,2797,0,
20180102 11:57:00,0.97,0.97,0.97,0.97,51319,500,0,
20180102 12:05:00,0.97,0.97,0.965,0.965,51821,403,0,
20180102 12:06:00,0.97,0.974,0.97,0.974,52521,700,0,
20180102 12:07:00,0.9751,0.9751,0.9701,0.9701,53791,1200,0,
20180102 12:08:00,0.977,0.977,0.977,0.977,54015,224,0,
20180102 12:10:00,0.9769,0.9769,0.9769,0.9769,55515,1500,0,
20180102 12:12:00,0.9769,0.9769,0.9769,0.9769,55815,300,0,
20180102 12:13:00,0.9768,0.9768,0.9768,0.9768,55975,160,0,
20180102 12:14:00,0.9733,0.9733,0.9733,0.9733,57725,1750,0,
20180102 12:16:00,0.9762,0.9762,0.9701,0.9701,58925,1200,0,
20180102 12:19:00,0.9702,0.9798,0.9702,0.9798,60075,1100,0,
20180102 12:28:00,0.98,0.98,0.9703,0.9703,71175,11100,0,
20180102 12:29:00,0.9799,0.9799,0.9703,0.9703,73375,2200,0,
20180102 12:35:00,0.9758,0.98,0.9716,0.98,75720,2320,0,
20180102 12:36:00,0.98,0.98,0.98,0.98,75820,100,0,
20180102 12:39:00,0.98,0.98,0.9717,0.98,77220,1400,0,
20180102 12:41:00,0.98,0.98,0.9722,0.9722,89670,12400,0,
20180102 12:50:00,0.982,0.982,0.982,0.982,90270,600,0,
20180102 12:51:00,0.982,0.982,0.982,0.982,90670,400,0,
20180102 12:53:00,0.982,0.999,0.9801,0.9801,103120,12231,0,
20180102 12:57:00,0.985,0.985,0.985,0.985,103620,500,0,
20180102 13:02:00,0.9802,0.985,0.9802,0.985,105221,1600,0,
20180102 13:04:00,0.9861,0.9861,0.9701,0.9701,105521,300,0,
20180102 13:11:00,0.9751,0.9751,0.9751,0.9751,106036,500,0,
20180102 13:13:00,0.98,0.9825,0.98,0.9825,107298,1200,0,
20180102 13:18:00,0.98,0.98,0.98,0.98,107500,200,0,
20180102 13:23:00,0.9825,0.9825,0.9825,0.9825,108409,904,0,
20180102 13:57:00,0.98,0.98,0.98,0.98,108609,100,0,
20180102 14:07:00,0.9802,0.9802,0.9802,0.9802,109612,1000,0,
20180102 14:14:00,0.982,0.982,0.9816,0.9816,112512,2900,0,
20180102 14:16:00,0.982,0.9825,0.982,0.9825,113712,1200,0,
20180102 14:18:00,0.9825,0.9825,0.9825,0.9825,113812,100,0,
20180102 14:20:00,0.9831,0.9831,0.9831,0.9831,114012,200,0,
20180102 14:22:00,0.9832,0.9832,0.9832,0.9832,114212,200,0,
20180102 14:27:00,0.9865,0.9865,0.9832,0.9832,114862,650,0,
20180102 14:40:00,0.9879,0.9879,0.9866,0.9866,115403,500,0,
20180102 14:41:00,0.9899,0.9899,0.9899,0.9899,116403,1000,0,
20180102 14:44:00,0.988,0.988,0.9842,0.9842,122603,6200,0,
20180102 14:52:00,0.9856,0.9856,0.9856,0.9856,122808,200,0,
20180102 14:53:00,0.9835,0.9835,0.9835,0.9835,122908,100,0,
20180102 14:56:00,0.99,0.99,0.99,0.99,125008,2085,0,
20180102 14:57:00,0.9827,0.999,0.9827,0.9827,130766,5597,0,
20180102 15:04:00,0.999,0.999,0.999,0.999,131266,500,0,
20180102 15:08:00,0.9828,0.9828,0.9828,0.9828,131791,525,0,
20180102 15:13:00,0.9989,1,0.9828,0.9828,139241,7440,0,
20180102 15:16:00,0.99,0.999,0.9826,0.9826,147941,8700,0,
20180102 15:20:00,0.99,0.99,0.99,0.99,148541,600,0,
20180102 15:24:00,0.9888,0.99,0.9826,0.9826,152141,3600,0,
20180102 15:26:00,0.985,0.985,0.985,0.985,152441,300,0,
20180102 15:31:00,0.99,0.99,0.99,0.99,153241,800,0,
20180102 15:32:00,0.99,0.99,0.99,0.99,153341,100,0,
20180102 15:41:00,0.9899,0.9899,0.9899,0.9899,154395,1000,0,
20180102 15:49:00,0.9844,0.9864,0.9844,0.9864,155628,1200,0,
20180102 15:51:00,0.9828,0.9828,0.9828,0.9828,155728,100,0,
20180102 15:55:00,0.99,0.99,0.99,0.99,157278,1550,0,
20180102 15:58:00,0.995,0.995,0.995,0.995,157378,100,0,
20180102 15:59:00,0.9912,0.9912,0.9826,0.9826,158780,1402,0,
20180102 16:00:00,0.995,0.995,0.995,0.995,159151,371,0,
20180102 16:25:00,0.994,0.994,0.994,0.994,159251,100,0,
