TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,26.74,26.74,26.5,26.5,8928,8728,0,
20180102 09:31:00,26.7963,26.7963,26.7963,26.7963,9451,500,0,
20180102 09:32:00,26.49,26.658,26.49,26.5,9950,498,0,
20180102 09:33:00,26.48,26.658,26.48,26.658,10298,300,0,
20180102 09:35:00,26.465,26.48,26.465,26.48,10616,300,0,
20180102 09:36:00,26.66,26.7847,26.66,26.7847,11046,410,0,
20180102 09:37:00,26.42,26.644,26.42,26.644,11578,500,0,
20180102 09:39:00,26.85,26.85,26.43,26.73,12780,1196,0,
20180102 09:40:00,26.45,26.775,26.43,26.535,16587,3800,0,
20180102 09:41:00,26.5,26.5,26.41,26.41,17640,895,0,
20180102 09:42:00,26.409,26.41,26.4,26.4,18840,1100,0,
20180102 09:44:00,26.395,26.409,26.395,26.409,19847,1000,0,
20180102 09:47:00,26.41,26.41,26.404,26.404,20858,1000,0,
20180102 09:48:00,26.404,26.404,26.404,26.404,21328,400,0,
20180102 09:49:00,26.38,26.385,26.38,26.385,21900,474,0,
20180102 09:51:00,26.41,26.41,26.385,26.385,22400,500,0,
20180102 09:54:00,26.4,26.4,26.3772,26.3772,22650,200,0,
20180102 09:55:00,26.4,26.4,26.375,26.375,22852,200,0,
20180102 09:58:00,26.4,26.4,26.375,26.375,23253,202,0,
20180102 10:01:00,26.39,26.395,26.39,26.39,24213,940,0,
20180102 10:06:00,26.411,26.44,26.392,26.392,26464,2100,0,
20180102 10:12:00,26.43,26.43,26.43,26.43,26570,100,0,
20180102 10:16:00,26.45,26.45,26.44,26.44,27785,1199,0,
20180102 10:20:00,26.41,26.41,26.41,26.41,27885,100,0,
20180102 10:21:00,26.4147,26.4147,26.4147,26.4147,28269,300,0,
20180102 10:34:00,26.39,26.39,26.39,26.39,28824,300,0,
20180102 10:35:00,26.39,26.39,26.39,26.39,29324,500,0,
20180102 10:36:00,26.3925,26.395,26.375,26.39,30124,800,0,
20180102 10:41:00,26.45,26.45,26.45,26.45,31124,1000,0,
20180102 10:42:00,26.4125,26.415,26.41,26.41,31625,500,0,
20180102 10:48:00,26.445,26.445,26.445,26.445,32131,500,0,
20180102 11:04:00,26.4,26.4,26.4,26.4,32716,200,0,
20180102 11:05:00,26.4,26.4,26.4,26.4,32821,100,0,
20180102 11:10:00,26.42,26.42,26.42,26.42,32923,100,0,
20180102 11:14:00,26.382,26.382,26.382,26.382,33623,700,0,
20180102 11:16:00,26.469,26.469,26.469,26.469,33731,100,0,
20180102 11:21:00,26.445,26.47,26.445,26.47,33933,200,0,
20180102 11:28:00,26.445,26.445,26.445,26.445,34042,100,0,
20180102 11:29:00,26.436,26.436,26.436,26.436,34553,422,0,
20180102 11:41:00,26.4,26.4,26.38,26.38,35263,700,0,
20180102 11:53:00,26.432,26.432,26.432,26.432,35571,300,0,
20180102 12:11:00,26.49,26.49,26.49,26.49,36160,500,0,
20180102 12:19:00,26.5164,26.5164,26.5164,26.5164,36393,200,0,
20180102 12:21:00,26.49,26.49,26.49,26.49,36593,200,0,
20180102 12:22:00,26.51,26.51,26.4678,26.506,37473,850,0,
20180102 12:23:00,26.51,26.51,26.46,26.506,39873,2400,0,
20180102 12:24:00,26.46,26.46,26.46,26.46,40073,200,0,
20180102 12:34:00,26.505,26.505,26.505,26.505,41097,1000,0,
20180102 12:37:00,26.516,26.516,26.516,26.516,41244,100,0,
20180102 12:40:00,26.51,26.51,26.51,26.51,41513,200,0,
20180102 12:42:00,26.515,26.515,26.515,26.515,42147,628,0,
20180102 12:45:00,26.4972,26.51,26.4972,26.51,42749,600,0,
20180102 12:46:00,26.48,26.48,26.48,26.48,43615,800,0,
20180102 12:58:00,26.455,26.455,26.455,26.455,44256,483,0,
20180102 13:07:00,26.48,26.48,26.48,26.48,45308,1000,0,
20180102 13:09:00,26.485,26.485,26.48,26.484,45608,300,0,
20180102 13:10:00,26.49,26.49,26.49,26.49,45908,300,0,
20180102 13:11:00,26.5095,26.5095,26.5095,26.5095,46033,125,0,
20180102 13:12:00,26.46,26.47,26.46,26.47,46413,380,0,
20180102 13:13:00,26.493,26.493,26.493,26.493,46613,200,0,
20180102 13:14:00,26.48,26.48,26.48,26.48,46863,250,0,
20180102 13:15:00,26.47,26.47,26.47,26.47,47128,265,0,
20180102 13:17:00,26.46,26.46,26.46,26.46,47328,200,0,
20180102 13:19:00,26.46,26.46,26.46,26.46,47431,100,0,
20180102 13:26:00,26.48,26.48,26.48,26.48,47756,300,0,
20180102 13:28:00,26.495,26.495,26.495,26.495,48209,449,0,
20180102 13:29:00,26.5,26.5,26.48,26.5,48759,550,0,
20180102 13:36:00,26.5,26.5,26.5,26.5,48859,100,0,
20180102 13:37:00,26.48,26.48,26.48,26.48,49063,200,0,
20180102 13:38:00,26.49,26.49,26.49,26.49,49163,100,0,
20180102 13:48:00,26.45,26.4647,26.45,26.4647,49613,400,0,
20180102 13:51:00,26.46,26.46,26.46,26.46,49713,100,0,
20180102 13:54:00,26.495,26.495,26.495,26.495,49813,100,0,
20180102 14:05:00,26.5095,26.5095,26.5095,26.5095,49946,125,0,
20180102 14:18:00,26.5297,26.5297,26.5297,26.5297,50293,100,0,
20180102 14:20:00,26.5297,26.5297,26.5297,26.5297,50468,125,0,
20180102 14:24:00,26.5,26.53,26.5,26.53,50768,300,0,
20180102 14:30:00,26.525,26.525,26.525,26.525,51305,452,0,
20180102 14:35:00,26.53,26.53,26.53,26.53,51505,200,0,
20180102 14:41:00,26.51,26.53,26.51,26.53,51707,200,0,
20180102 14:42:00,26.5295,26.5295,26.5295,26.5295,52007,300,0,
20180102 14:44:00,26.535,26.535,26.535,26.535,52207,200,0,
20180102 14:50:00,26.546,26.546,26.546,26.546,52357,150,0,
20180102 14:51:00,26.54,26.54,26.54,26.54,52957,600,0,
20180102 14:55:00,26.562,26.562,26.562,26.562,53957,1000,0,
20180102 14:58:00,26.61,26.61,26.59,26.606,55026,1000,0,
20180102 15:00:00,26.6,26.6,26.6,26.6,55526,500,0,
20180102 15:02:00,26.565,26.565,26.565,26.565,56036,500,0,
20180102 15:09:00,26.595,26.595,26.594,26.594,56239,200,0,
20180102 15:11:00,26.6,26.6,26.6,26.6,56740,500,0,
20180102 15:13:00,26.5947,26.5947,26.5947,26.5947,57140,400,0,
20180102 15:14:00,26.61,26.61,26.5954,26.5954,57340,200,0,
20180102 15:17:00,26.64,26.64,26.62,26.636,58144,800,0,
20180102 15:20:00,26.586,26.586,26.586,26.586,59644,1500,0,
20180102 15:21:00,26.64,26.64,26.62,26.636,60144,500,0,
20180102 15:29:00,26.66,26.66,26.62,26.656,61102,800,0,
20180102 15:30:00,26.588,26.588,26.588,26.588,61604,500,0,
20180102 15:32:00,26.64,26.64,26.64,26.64,61804,200,0,
20180102 15:34:00,26.649,26.649,26.62,26.62,62094,200,0,
20180102 15:41:00,26.6197,26.6197,26.6197,26.6197,62555,400,0,
20180102 15:42:00,26.62,26.62,26.61,26.62,63055,500,0,
20180102 15:44:00,26.61,26.61,26.61,26.61,63306,200,0,
20180102 15:46:00,26.62,26.63,26.62,26.62,65020,1714,0,
20180102 15:47:00,26.63,26.63,26.6096,26.6096,65220,200,0,
20180102 15:54:00,26.668,26.67,26.668,26.67,65570,350,0,
20180102 15:57:00,26.67,26.67,26.67,26.67,65720,150,0,
20180102 15:59:00,26.66,26.66,26.66,26.66,65854,100,0,
20180102 16:20:00,26.68,26.68,26.68,26.68,66054,200,0,
