TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,4.1,4.1,4.1,4.1,1602,1602,0,
20180102 09:34:00,4.05,4.05,4.05,4.05,1752,100,0,
20180102 09:35:00,4.05,4.05,4.05,4.05,5478,3684,0,
20180102 09:36:00,4.05,4.05,4.05,4.05,5778,300,0,
20180102 09:38:00,4.05,4.1,4.05,4.1,8949,3100,0,
20180102 09:39:00,4.1,4.1,4.1,4.1,9199,250,0,
20180102 09:40:00,4.125,4.125,4.1,4.1,13979,4700,0,
20180102 09:45:00,4.1,4.1,4.1,4.1,14179,200,0,
20180102 09:46:00,4.075,4.075,4.075,4.075,14279,100,0,
20180102 09:47:00,4.1,4.1,4.1,4.1,14739,460,0,
20180102 09:49:00,4.1,4.125,4.1,4.125,15514,775,0,
20180102 09:53:00,4.1,4.1,4.1,4.1,17094,1382,0,
20180102 09:55:00,4.095,4.095,4.095,4.095,18976,1800,0,
20180102 09:56:00,4.1,4.1,4.1,4.1,19076,100,0,
20180102 09:59:00,4.1,4.1,4.1,4.1,19241,100,0,
20180102 10:05:00,4.075,4.075,4.075,4.075,19489,100,0,
20180102 10:15:00,4.075,4.075,4.075,4.075,19664,100,0,
20180102 10:33:00,4.075,4.1,4.05,4.05,20294,400,0,
20180102 10:34:00,4.075,4.075,4.075,4.075,20394,100,0,
20180102 10:36:00,4.1,4.1,4.05,4.05,21564,1100,0,
20180102 10:41:00,4.075,4.075,4.075,4.075,21755,100,0,
20180102 10:43:00,4.05,4.05,4.05,4.05,21855,100,0,
20180102 10:45:00,4.05,4.05,4.05,4.05,21955,100,0,
20180102 10:47:00,4.075,4.075,4.075,4.075,22055,100,0,
20180102 10:48:00,4.075,4.075,4.075,4.075,22155,100,0,
20180102 10:55:00,4.05,4.05,4.05,4.05,22255,100,0,
20180102 10:56:00,4.075,4.075,4.075,4.075,22355,100,0,
20180102 10:57:00,4.075,4.075,4.075,4.075,22455,100,0,
20180102 11:00:00,4.075,4.075,4.05,4.05,23525,700,0,
20180102 11:05:00,4.05,4.05,4.05,4.05,23719,100,0,
20180102 11:06:00,4.05,4.05,4.05,4.05,23819,100,0,
20180102 11:10:00,4.05,4.05,4.05,4.05,23919,100,0,
20180102 11:11:00,4.075,4.075,4.075,4.075,24019,100,0,
20180102 11:14:00,4.05,4.05,4.05,4.05,24119,100,0,
20180102 11:17:00,4.05,4.1,4.05,4.075,27536,3392,0,
20180102 11:22:00,4.05,4.05,4.05,4.05,27738,200,0,
20180102 11:28:00,4.05,4.05,4.05,4.05,27838,100,0,
20180102 11:32:00,4.05,4.05,4.05,4.05,27938,100,0,
20180102 11:36:00,4.075,4.075,4.075,4.075,28538,500,0,
20180102 11:40:00,4.05,4.05,4.05,4.05,28648,100,0,
20180102 11:44:00,4.05,4.05,4.05,4.05,28748,100,0,
20180102 11:46:00,4.0747,4.0747,4.0747,4.0747,28848,100,0,
20180102 11:48:00,4.1,4.1,4.075,4.075,29148,200,0,
20180102 11:50:00,4.05,4.05,4.05,4.05,29348,200,0,
20180102 11:52:00,4.0748,4.0748,4.05,4.05,29548,200,0,
20180102 11:55:00,4.05,4.075,4.05,4.075,32348,2795,0,
20180102 11:56:00,4.05,4.05,4.05,4.05,32448,100,0,
20180102 12:05:00,4.05,4.05,4.05,4.05,32549,100,0,
20180102 12:07:00,4.05,4.075,4.05,4.075,38692,6143,0,
20180102 12:08:00,4.075,4.075,4.075,4.075,38792,100,0,
20180102 12:09:00,4.05,4.05,4.05,4.05,38992,200,0,
20180102 12:10:00,4.075,4.075,4.075,4.075,39092,100,0,
20180102 12:19:00,4.05,4.05,4.05,4.05,39192,100,0,
20180102 12:27:00,4.05,4.05,4.05,4.05,39292,100,0,
20180102 12:29:00,4.05,4.05,4.05,4.05,39392,100,0,
20180102 12:32:00,4.05,4.05,4.05,4.05,39492,100,0,
20180102 12:39:00,4.05,4.05,4.05,4.05,39592,100,0,
20180102 12:46:00,4.05,4.05,4.05,4.05,39692,100,0,
20180102 12:48:00,4.05,4.05,4.05,4.05,39792,100,0,
20180102 12:54:00,4.05,4.05,4.005,4.05,53952,13497,0,
20180102 12:56:00,4.025,4.025,4.025,4.025,54052,100,0,
20180102 13:01:00,4,4.025,4,4,74552,20500,0,
20180102 13:04:00,4,4.0086,4,4,77112,2555,0,
20180102 13:05:00,4,4,4,4,77512,400,0,
20180102 13:06:00,4,4.05,4,4.025,84512,7000,0,
20180102 13:08:00,4,4,3.95,3.95,100712,16200,0,
20180102 13:09:00,3.975,3.975,3.95,3.95,102112,1400,0,
20180102 13:10:00,4,4,3.95,3.975,103314,1200,0,
20180102 13:11:00,3.95,3.995,3.95,3.995,107914,4600,0,
20180102 13:12:00,4,4,3.95,3.95,108714,800,0,
20180102 13:14:00,3.975,3.98,3.95,3.95,109614,900,0,
20180102 13:15:00,3.95,3.95,3.95,3.95,110314,700,0,
20180102 13:16:00,3.975,3.975,3.95,3.95,110514,200,0,
20180102 13:17:00,3.95,3.95,3.95,3.95,110814,300,0,
20180102 13:18:00,3.95,3.95,3.95,3.95,116135,5253,0,
20180102 13:20:00,3.95,3.975,3.95,3.95,117935,1800,0,
20180102 13:21:00,3.95,3.95,3.95,3.95,119735,1800,0,
20180102 13:22:00,3.95,3.95,3.95,3.95,120635,900,0,
20180102 13:23:00,3.95,3.95,3.925,3.925,122135,1500,0,
20180102 13:24:00,3.95,3.95,3.925,3.95,123535,1400,0,
20180102 13:26:00,3.95,3.95,3.95,3.95,124735,1200,0,
20180102 13:27:00,3.95,4,3.95,4,125765,1030,0,
20180102 13:28:00,3.95,3.95,3.95,3.95,126265,500,0,
20180102 13:29:00,3.95,3.95,3.95,3.95,126465,200,0,
20180102 13:31:00,3.95,3.95,3.95,3.95,126565,100,0,
20180102 13:32:00,3.95,3.95,3.95,3.95,127476,900,0,
20180102 13:34:00,3.95,3.95,3.95,3.95,127576,100,0,
20180102 13:35:00,3.95,3.95,3.95,3.95,127976,400,0,
20180102 13:36:00,3.95,3.95,3.95,3.95,128076,100,0,
20180102 13:38:00,3.975,3.975,3.975,3.975,131286,3200,0,
20180102 13:39:00,3.975,3.975,3.975,3.975,131786,500,0,
20180102 13:48:00,3.975,3.975,3.975,3.975,131886,100,0,
20180102 13:52:00,3.975,3.975,3.975,3.975,131986,100,0,
20180102 13:54:00,3.975,3.975,3.975,3.975,132086,100,0,
20180102 13:55:00,3.975,3.975,3.975,3.975,132211,100,0,
20180102 13:57:00,4,4,4,4,132311,100,0,
20180102 14:00:00,3.975,3.975,3.975,3.975,132411,100,0,
20180102 14:05:00,3.975,3.975,3.975,3.975,132511,100,0,
