TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,23.21,23.21,23.21,23.21,189,189,0,
20180102 10:08:00,23,23,23,23,401,100,0,
20180102 11:01:00,23.3158,23.3158,23.3158,23.3158,513,100,0,
20180102 11:35:00,23.3046,23.3046,23.3046,23.3046,666,100,0,
20180102 11:57:00,23.5302,23.5302,23.5302,23.5302,767,100,0,
20180102 11:59:00,23.2998,23.2998,23.2998,23.2998,867,100,0,
20180102 12:25:00,23.01,23.01,23.01,23.01,967,100,0,
20180102 12:56:00,23.2933,23.2933,23.2933,23.2933,1067,100,0,
20180102 12:59:00,23.2986,23.2986,23.2986,23.2986,1607,500,0,
20180102 13:00:00,23.2986,23.2986,23.2986,23.2986,2307,700,0,
20180102 13:01:00,23.2986,23.2986,23.2986,23.2986,2507,200,0,
20180102 13:02:00,23.5252,23.5252,23.5252,23.5252,2987,480,0,
20180102 13:11:00,22.981,22.981,22.981,22.981,3287,300,0,
20180102 15:49:00,23.05,23.05,23.05,23.05,3492,100,0,
20180102 16:00:00,22.98,22.98,22.98,22.98,3734,192,0,
20180102 16:10:00,22.98,22.98,22.98,22.98,3734,0,0,
20180102 18:30:00,22.98,22.98,22.98,22.98,3734,0,0,
20180102 20:00:00,22.98,22.98,22.98,22.98,3734,0,0,
