TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,21.89,21.89,21.89,21.89,2075,2075,0,
20180102 09:32:00,21.858,21.858,21.858,21.858,2924,116,0,
20180102 09:39:00,21.88,21.88,21.8582,21.8583,3962,900,0,
20180102 09:46:00,21.8553,21.8553,21.8553,21.8553,4701,700,0,
20180102 09:58:00,21.859,21.859,21.859,21.859,5207,431,0,
20180102 10:05:00,21.85,21.85,21.85,21.85,5837,500,0,
20180102 10:20:00,21.8355,21.8355,21.8355,21.8355,6129,200,0,
20180102 10:21:00,21.83,21.83,21.83,21.83,6779,650,0,
20180102 10:25:00,21.82,21.82,21.8,21.8,7114,200,0,
20180102 10:36:00,21.7939,21.7939,21.7939,21.7939,7441,200,0,
20180102 10:39:00,21.8,21.81,21.8,21.81,7741,300,0,
20180102 10:47:00,21.7784,21.7784,21.7784,21.7784,8194,453,0,
20180102 11:02:00,21.7786,21.7786,21.7786,21.7786,10064,1870,0,
20180102 11:07:00,21.79,21.79,21.79,21.79,10204,140,0,
20180102 11:11:00,21.7761,21.7761,21.77,21.77,11053,788,0,
20180102 11:13:00,21.783,21.79,21.78,21.79,12313,1200,0,
20180102 11:25:00,21.85,21.8599,21.85,21.8599,12818,500,0,
20180102 11:59:00,21.86,21.86,21.835,21.835,13078,200,0,
20180102 12:03:00,21.86,21.86,21.86,21.86,13516,338,0,
20180102 12:10:00,21.855,21.855,21.855,21.855,14666,1150,0,
20180102 12:22:00,21.86,21.86,21.83,21.83,15324,385,0,
20180102 12:38:00,21.86,21.86,21.8468,21.8468,16190,866,0,
20180102 12:46:00,21.86,21.86,21.8326,21.8326,16390,200,0,
20180102 13:09:00,21.8301,21.8301,21.8301,21.8301,16490,100,0,
20180102 13:14:00,21.86,21.86,21.86,21.86,16610,100,0,
20180102 13:19:00,21.84,21.84,21.84,21.84,16806,100,0,
20180102 13:26:00,21.86,21.86,21.86,21.86,16906,100,0,
20180102 13:28:00,21.86,21.91,21.86,21.91,21957,5051,0,
20180102 13:38:00,21.8691,21.8691,21.8691,21.8691,22473,513,0,
20180102 13:41:00,21.8501,21.8501,21.8501,21.8501,23978,1500,0,
20180102 13:43:00,21.8501,21.8501,21.8501,21.8501,25478,1500,0,
20180102 14:15:00,21.851,21.851,21.85,21.85,26501,1000,0,
20180102 14:33:00,21.8911,21.8911,21.8728,21.8728,26863,244,0,
20180102 15:36:00,21.87,21.87,21.87,21.87,27174,200,0,
20180102 15:39:00,21.89,21.89,21.89,21.89,27474,300,0,
20180102 15:45:00,21.89,21.89,21.88,21.88,28010,400,0,
20180102 15:51:00,21.91,21.92,21.9032,21.9032,29057,900,0,
20180102 15:52:00,21.901,21.901,21.901,21.901,29357,300,0,
20180102 16:02:00,22.06,22.06,22.06,22.06,29529,127,0,
