TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,72.51,72.54,72.4,72.42,59309,58964,0,
20180102 09:31:00,72.4,72.4,72.386,72.39,71947,12523,0,
20180102 09:32:00,72.4,72.425,72.4,72.425,78287,6324,0,
20180102 09:33:00,72.41,72.415,72.38,72.38,79582,1200,0,
20180102 09:34:00,72.37,72.38,72.35,72.36,94182,14463,0,
20180102 09:35:00,72.37,72.37,72.35,72.35,94982,600,0,
20180102 09:36:00,72.35,72.35,72.33,72.34,97720,2700,0,
20180102 09:37:00,72.35,72.375,72.35,72.375,101786,3949,0,
20180102 09:38:00,72.38,72.41,72.37,72.41,106303,4299,0,
20180102 09:39:00,72.42,72.425,72.41,72.425,118683,12140,0,
20180102 09:40:00,72.43,72.45,72.43,72.43,126805,8122,0,
20180102 09:41:00,72.4334,72.45,72.4334,72.4499,128515,1710,0,
20180102 09:42:00,72.45,72.45,72.45,72.45,128843,300,0,
20180102 09:43:00,72.44,72.45,72.43,72.43,131043,2108,0,
20180102 09:44:00,72.44,72.44,72.43,72.43,136002,4879,0,
20180102 09:45:00,72.44,72.44,72.42,72.42,139938,3610,0,
20180102 09:46:00,72.41,72.43,72.41,72.42,141669,1500,0,
20180102 09:47:00,72.425,72.43,72.425,72.43,142443,500,0,
20180102 09:48:00,72.4399,72.44,72.4399,72.44,143574,1000,0,
20180102 09:49:00,72.436,72.436,72.41,72.41,147664,4090,0,
20180102 09:50:00,72.41,72.41,72.405,72.4068,152148,4310,0,
20180102 09:51:00,72.41,72.4199,72.41,72.41,157222,5044,0,
20180102 09:52:00,72.425,72.43,72.425,72.43,158262,921,0,
20180102 09:53:00,72.4262,72.4262,72.42,72.42,158969,707,0,
20180102 09:54:00,72.43,72.43,72.42,72.43,160049,900,0,
20180102 09:55:00,72.429,72.43,72.42,72.42,161889,1840,0,
20180102 09:56:00,72.415,72.42,72.41,72.4113,186990,24972,0,
20180102 09:57:00,72.42,72.4399,72.42,72.4399,189810,2700,0,
20180102 09:58:00,72.44,72.47,72.44,72.47,192010,2200,0,
20180102 09:59:00,72.47,72.4899,72.47,72.4899,194441,2100,0,
20180102 10:00:00,72.485,72.51,72.485,72.5,219634,24608,0,
20180102 10:01:00,72.51,72.52,72.51,72.52,220981,1250,0,
20180102 10:02:00,72.52,72.525,72.5199,72.52,227259,6240,0,
20180102 10:03:00,72.52,72.52,72.51,72.51,231774,4515,0,
20180102 10:04:00,72.51,72.51,72.5042,72.5042,239798,8022,0,
20180102 10:05:00,72.51,72.52,72.5,72.52,241317,1519,0,
20180102 10:06:00,72.52,72.53,72.52,72.53,241552,200,0,
20180102 10:07:00,72.53,72.54,72.53,72.54,243252,1700,0,
20180102 10:08:00,72.5467,72.55,72.5399,72.5399,245393,1920,0,
20180102 10:09:00,72.54,72.5599,72.54,72.555,248393,3000,0,
20180102 10:10:00,72.55,72.55,72.54,72.54,248794,400,0,
20180102 10:11:00,72.54,72.54,72.53,72.53,250394,1600,0,
20180102 10:12:00,72.53,72.53,72.5213,72.53,250994,600,0,
20180102 10:13:00,72.54,72.55,72.54,72.54,252878,1775,0,
20180102 10:14:00,72.5357,72.54,72.5357,72.54,253798,920,0,
20180102 10:15:00,72.535,72.56,72.535,72.56,259878,5980,0,
20180102 10:16:00,72.5599,72.5599,72.5599,72.5599,260578,700,0,
20180102 10:17:00,72.5599,72.5699,72.5599,72.565,261748,1000,0,
20180102 10:18:00,72.57,72.5799,72.57,72.5799,262904,1125,0,
20180102 10:19:00,72.58,72.59,72.5744,72.5744,277842,14910,0,
20180102 10:20:00,72.5701,72.5701,72.5701,72.5701,278021,151,0,
20180102 10:21:00,72.57,72.5799,72.57,72.5799,278921,900,0,
20180102 10:22:00,72.57,72.57,72.56,72.57,282761,3693,0,
20180102 10:23:00,72.575,72.575,72.5699,72.57,285113,2249,0,
20180102 10:24:00,72.5799,72.5799,72.57,72.57,286815,1700,0,
20180102 10:25:00,72.57,72.58,72.57,72.58,289315,2400,0,
20180102 10:26:00,72.58,72.58,72.5738,72.5738,290878,1563,0,
20180102 10:27:00,72.5799,72.58,72.579,72.58,291874,897,0,
20180102 10:28:00,72.57,72.59,72.57,72.59,297684,5751,0,
20180102 10:30:00,72.6,72.6,72.6,72.6,300826,2500,0,
20180102 10:32:00,72.5899,72.5899,72.5899,72.5899,301006,113,0,
20180102 10:33:00,72.5861,72.5899,72.57,72.5761,308986,7980,0,
20180102 10:34:00,72.573,72.58,72.573,72.58,309565,579,0,
20180102 10:35:00,72.58,72.595,72.58,72.595,310365,800,0,
20180102 10:36:00,72.6,72.62,72.5999,72.62,314553,4100,0,
20180102 10:37:00,72.62,72.62,72.58,72.58,328643,13725,0,
20180102 10:38:00,72.57,72.57,72.52,72.53,406507,77355,0,
20180102 10:39:00,72.53,72.555,72.53,72.55,409892,3200,0,
20180102 10:40:00,72.555,72.555,72.54,72.54,411923,2000,0,
20180102 10:41:00,72.55,72.565,72.545,72.545,414349,2335,0,
20180102 10:42:00,72.55,72.5599,72.55,72.55,415640,1200,0,
20180102 10:43:00,72.54,72.545,72.54,72.545,416550,900,0,
