TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:29:00,84.74,84.74,84.74,84.74,140,130,0,
20180102 09:30:00,84.7,84.71,84.69,84.69,3391,3066,0,
20180102 09:31:00,84.6236,84.6236,84.6236,84.6236,3535,144,0,
20180102 09:35:00,84.56,84.58,84.5153,84.5308,5430,1636,0,
20180102 09:36:00,84.5278,84.5278,84.5,84.5,5720,200,0,
20180102 09:44:00,84.54,84.54,84.54,84.54,6921,1000,0,
20180102 09:47:00,84.539,84.539,84.539,84.539,7614,559,0,
20180102 09:48:00,84.4994,84.4994,84.4994,84.4994,7946,316,0,
20180102 09:49:00,84.49,84.49,84.49,84.49,8106,100,0,
20180102 09:50:00,84.4304,84.4304,84.4304,84.4304,8525,305,0,
20180102 09:52:00,84.42,84.42,84.41,84.41,8819,200,0,
20180102 10:02:00,84.53,84.53,84.53,84.53,9076,100,0,
20180102 10:04:00,84.53,84.53,84.505,84.505,9552,475,0,
20180102 10:07:00,84.5097,84.53,84.5097,84.53,10360,774,0,
20180102 10:09:00,84.51,84.51,84.51,84.51,10686,110,0,
20180102 10:10:00,84.56,84.56,84.56,84.56,10786,100,0,
20180102 10:14:00,84.55,84.55,84.54,84.54,13058,2198,0,
20180102 10:16:00,84.51,84.51,84.5,84.5,16584,3460,0,
20180102 10:18:00,84.5547,84.5547,84.5547,84.5547,16895,223,0,
20180102 10:19:00,84.5328,84.5328,84.5328,84.5328,17001,106,0,
20180102 10:21:00,84.53,84.53,84.53,84.53,17222,100,0,
20180102 10:22:00,84.53,84.53,84.53,84.53,17422,200,0,
20180102 10:23:00,84.5495,84.5495,84.5495,84.5495,17742,320,0,
20180102 10:24:00,84.55,84.55,84.55,84.55,17851,104,0,
20180102 10:25:00,84.542,84.56,84.542,84.56,18061,210,0,
20180102 10:26:00,84.53,84.5444,84.53,84.5444,18969,905,0,
20180102 10:28:00,84.55,84.55,84.55,84.55,19252,283,0,
20180102 10:30:00,84.5301,84.5301,84.5301,84.5301,19786,530,0,
20180102 10:31:00,84.56,84.56,84.56,84.56,19886,100,0,
20180102 10:33:00,84.57,84.57,84.57,84.57,20136,100,0,
20180102 10:34:00,84.56,84.5642,84.56,84.5642,20487,340,0,
20180102 10:35:00,84.555,84.555,84.555,84.555,21407,920,0,
20180102 10:36:00,84.56,84.56,84.56,84.56,21578,171,0,
20180102 10:37:00,84.53,84.53,84.53,84.53,21714,100,0,
20180102 10:38:00,84.54,84.54,84.5,84.5,24022,2199,0,
20180102 10:41:00,84.5,84.5,84.5,84.5,24302,200,0,
20180102 10:43:00,84.52,84.5277,84.52,84.5277,24705,395,0,
20180102 10:44:00,84.52,84.52,84.5,84.5,26430,1700,0,
20180102 10:45:00,84.5,84.5,84.5,84.5,26530,100,0,
20180102 10:48:00,84.529,84.529,84.5,84.5,27253,700,0,
20180102 10:49:00,84.53,84.53,84.53,84.53,27594,341,0,
20180102 10:50:00,84.52,84.52,84.52,84.52,27694,100,0,
20180102 10:51:00,84.5198,84.5198,84.5,84.5,28229,535,0,
20180102 10:52:00,84.5,84.5,84.5,84.5,28329,100,0,
20180102 10:54:00,84.5193,84.5193,84.5193,84.5193,29193,864,0,
20180102 10:56:00,84.5228,84.5228,84.5228,84.5228,29367,150,0,
20180102 10:58:00,84.5111,84.5111,84.5111,84.5111,29655,288,0,
20180102 10:59:00,84.52,84.52,84.52,84.52,29811,100,0,
20180102 11:02:00,84.52,84.52,84.52,84.52,29986,100,0,
20180102 11:04:00,84.5106,84.5106,84.5106,84.5106,30130,144,0,
20180102 11:05:00,84.5,84.5,84.5,84.5,30230,100,0,
20180102 11:07:00,84.53,84.53,84.52,84.52,30714,377,0,
20180102 11:08:00,84.51,84.51,84.51,84.51,30965,200,0,
20180102 11:09:00,84.51,84.51,84.51,84.51,31165,200,0,
20180102 11:12:00,84.5186,84.5186,84.5186,84.5186,31471,286,0,
20180102 11:13:00,84.51,84.51,84.51,84.51,31608,100,0,
20180102 11:14:00,84.51,84.51,84.5021,84.507,33116,1500,0,
20180102 11:17:00,84.505,84.505,84.505,84.505,35482,2366,0,
20180102 11:18:00,84.5008,84.5008,84.5008,84.5008,36388,725,0,
20180102 11:19:00,84.52,84.52,84.508,84.5107,37234,846,0,
20180102 11:20:00,84.501,84.501,84.501,84.501,40640,3406,0,
20180102 11:21:00,84.5,84.5,84.5,84.5,41141,500,0,
20180102 11:22:00,84.5,84.5,84.5,84.5,41341,100,0,
20180102 11:27:00,84.48,84.48,84.48,84.48,41889,400,0,
20180102 11:28:00,84.4601,84.4601,84.46,84.46,42291,402,0,
20180102 11:30:00,84.4878,84.4986,84.4878,84.4986,43230,939,0,
20180102 11:31:00,84.48,84.48,84.48,84.48,43330,100,0,
20180102 11:35:00,84.4859,84.4859,84.4859,84.4859,43869,532,0,
20180102 11:37:00,84.46,84.46,84.46,84.46,44025,100,0,
20180102 11:38:00,84.46,84.4724,84.45,84.45,45350,1288,0,
20180102 11:40:00,84.4352,84.4352,84.4352,84.4352,45706,285,0,
20180102 11:46:00,84.4509,84.4509,84.4509,84.4509,45994,135,0,
20180102 11:47:00,84.434,84.434,84.434,84.434,46166,172,0,
20180102 11:53:00,84.45,84.49,84.45,84.49,47309,1014,0,
20180102 11:54:00,84.4598,84.4598,84.4326,84.4326,47853,544,0,
20180102 11:55:00,84.45,84.47,84.45,84.47,48053,200,0,
20180102 11:56:00,84.47,84.48,84.47,84.48,48253,200,0,
20180102 11:57:00,84.4774,84.4774,84.4774,84.4774,48678,425,0,
20180102 11:59:00,84.47,84.47,84.45,84.45,56315,7637,0,
20180102 12:02:00,84.4619,84.4619,84.4619,84.4619,56604,250,0,
20180102 12:03:00,84.48,84.48,84.45,84.45,56959,300,0,
20180102 12:04:00,84.47,84.47,84.47,84.47,57659,700,0,
20180102 12:05:00,84.4972,84.4972,84.472,84.472,57913,254,0,
20180102 12:06:00,84.5,84.5,84.5,84.5,58013,100,0,
20180102 12:08:00,84.509,84.509,84.5,84.5,58861,800,0,
20180102 12:11:00,84.45,84.48,84.45,84.48,59064,200,0,
