TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,50.31,50.31,50.26,50.26,5523,5518,0,
20180102 09:31:00,50.29,50.29,50.2589,50.27,10038,4325,0,
20180102 09:32:00,50.27,50.3,50.27,50.3,20446,10405,0,
20180102 09:33:00,50.2897,50.2897,50.2897,50.2897,20646,200,0,
20180102 09:34:00,50.26,50.2699,50.26,50.26,21156,510,0,
20180102 09:35:00,50.25,50.25,50.25,50.25,21582,400,0,
20180102 09:36:00,50.24,50.24,50.24,50.24,29221,7587,0,
20180102 09:37:00,50.24,50.25,50.24,50.25,33812,4382,0,
20180102 09:41:00,50.2999,50.2999,50.2999,50.2999,34160,252,0,
20180102 09:43:00,50.29,50.29,50.29,50.29,34631,400,0,
20180102 09:44:00,50.29,50.29,50.29,50.29,37264,2531,0,
20180102 09:47:00,50.27,50.27,50.27,50.27,38769,1430,0,
20180102 09:48:00,50.29,50.29,50.284,50.29,39919,1150,0,
20180102 09:49:00,50.29,50.29,50.28,50.28,40771,800,0,
20180102 09:50:00,50.28,50.28,50.28,50.28,41037,200,0,
20180102 09:51:00,50.275,50.28,50.275,50.28,41834,600,0,
20180102 09:53:00,50.2801,50.2801,50.2801,50.2801,42346,512,0,
20180102 09:55:00,50.29,50.29,50.29,50.29,42968,622,0,
20180102 09:56:00,50.27,50.27,50.27,50.27,43068,100,0,
20180102 09:57:00,50.27,50.27,50.27,50.27,43263,100,0,
20180102 09:58:00,50.28,50.28,50.28,50.28,43590,300,0,
20180102 10:00:00,50.31,50.31,50.31,50.31,43938,248,0,
20180102 10:03:00,50.32,50.33,50.32,50.32,69851,25748,0,
20180102 10:06:00,50.3202,50.3202,50.3202,50.3202,71111,1165,0,
20180102 10:10:00,50.35,50.35,50.35,50.35,71611,500,0,
20180102 10:11:00,50.35,50.35,50.35,50.35,71711,100,0,
20180102 10:12:00,50.34,50.34,50.3326,50.34,73910,2151,0,
20180102 10:13:00,50.35,50.36,50.35,50.36,76461,2407,0,
20180102 10:15:00,50.36,50.365,50.36,50.36,77706,1245,0,
20180102 10:17:00,50.37,50.38,50.37,50.38,88530,10728,0,
20180102 10:18:00,50.38,50.38,50.38,50.38,88630,100,0,
20180102 10:19:00,50.39,50.39,50.39,50.39,89030,400,0,
20180102 10:20:00,50.4,50.4,50.4,50.4,91421,2381,0,
20180102 10:24:00,50.3901,50.3901,50.39,50.39,92673,1200,0,
20180102 10:25:00,50.4,50.4,50.4,50.4,92773,100,0,
20180102 10:26:00,50.3966,50.3966,50.3966,50.3966,93452,679,0,
20180102 10:28:00,50.3901,50.3901,50.3901,50.3901,94014,400,0,
20180102 10:29:00,50.4,50.4,50.4,50.4,94513,400,0,
20180102 10:30:00,50.39,50.39,50.38,50.38,95113,600,0,
20180102 10:31:00,50.3835,50.3835,50.3835,50.3835,95281,130,0,
20180102 10:33:00,50.38,50.38,50.38,50.38,95579,100,0,
20180102 10:35:00,50.37,50.38,50.37,50.38,161228,65649,0,
20180102 10:37:00,50.4,50.4103,50.39,50.39,165458,4138,0,
20180102 10:38:00,50.38,50.385,50.38,50.38,166780,1272,0,
20180102 10:40:00,50.38,50.38,50.38,50.38,167700,900,0,
20180102 10:43:00,50.3601,50.3601,50.36,50.36,171011,3270,0,
20180102 10:46:00,50.3646,50.3646,50.36,50.36,172339,1039,0,
20180102 10:47:00,50.3654,50.3654,50.3654,50.3654,172880,541,0,
20180102 10:48:00,50.36,50.36,50.36,50.36,173483,600,0,
20180102 10:50:00,50.3646,50.3646,50.3646,50.3646,173673,190,0,
20180102 10:51:00,50.36,50.36,50.36,50.36,173824,100,0,
20180102 10:54:00,50.38,50.38,50.38,50.38,174192,300,0,
20180102 10:55:00,50.3776,50.3776,50.3776,50.3776,174633,411,0,
20180102 10:56:00,50.389,50.389,50.389,50.389,176633,2000,0,
20180102 10:57:00,50.39,50.39,50.39,50.39,176833,100,0,
20180102 10:58:00,50.3901,50.3901,50.3901,50.3901,177078,245,0,
20180102 10:59:00,50.4,50.4,50.39,50.39,191737,14657,0,
20180102 11:00:00,50.39,50.4,50.39,50.39,193137,1400,0,
20180102 11:03:00,50.4,50.4,50.3965,50.3987,196194,3041,0,
20180102 11:05:00,50.39,50.39,50.39,50.39,196994,800,0,
20180102 11:09:00,50.4,50.4067,50.4,50.4067,199038,2044,0,
20180102 11:11:00,50.4,50.4,50.4,50.4,200326,900,0,
20180102 11:12:00,50.4089,50.4089,50.4,50.4,201159,820,0,
20180102 11:15:00,50.42,50.42,50.42,50.42,202059,900,0,
20180102 11:17:00,50.4172,50.4172,50.4172,50.4172,203463,1404,0,
20180102 11:18:00,50.41,50.42,50.41,50.42,205371,1899,0,
20180102 11:19:00,50.4134,50.4134,50.4134,50.4134,205472,100,0,
20180102 11:20:00,50.41,50.41,50.41,50.41,206672,1200,0,
20180102 11:21:00,50.39,50.39,50.39,50.39,207772,1100,0,
20180102 11:22:00,50.38,50.38,50.37,50.37,208439,600,0,
20180102 11:24:00,50.3599,50.3599,50.3599,50.3599,208569,112,0,
20180102 11:27:00,50.35,50.35,50.34,50.34,211351,2700,0,
20180102 11:28:00,50.34,50.349,50.34,50.349,212751,1400,0,
20180102 11:29:00,50.35,50.35,50.35,50.35,218391,5640,0,
20180102 11:30:00,50.35,50.36,50.35,50.36,225491,6998,0,
20180102 11:31:00,50.36,50.365,50.35,50.365,230531,4848,0,
20180102 11:32:00,50.36,50.36,50.36,50.36,233331,2783,0,
20180102 11:33:00,50.36,50.36,50.36,50.36,234231,900,0,
20180102 11:34:00,50.36,50.38,50.36,50.375,244851,10548,0,
20180102 11:35:00,50.37,50.38,50.355,50.355,257851,12900,0,
20180102 11:36:00,50.355,50.36,50.355,50.355,258751,900,0,
20180102 11:38:00,50.35,50.35,50.345,50.345,260251,1500,0,
20180102 11:40:00,50.34,50.34,50.335,50.335,261306,1000,0,
20180102 11:41:00,50.335,50.335,50.335,50.335,261406,100,0,
20180102 11:42:00,50.34,50.34,50.335,50.34,270176,8700,0,
20180102 11:43:00,50.345,50.345,50.345,50.345,270824,500,0,
20180102 11:44:00,50.345,50.345,50.345,50.345,272224,1400,0,
20180102 11:45:00,50.345,50.35,50.345,50.35,278034,5800,0,
20180102 11:46:00,50.35,50.35,50.35,50.35,278704,670,0,
20180102 11:47:00,50.35,50.36,50.35,50.36,280083,1200,0,
20180102 11:48:00,50.36,50.36,50.36,50.36,280784,700,0,
20180102 11:49:00,50.36,50.365,50.36,50.365,283284,2400,0,
20180102 11:50:00,50.365,50.37,50.3634,50.37,287992,4708,0,
20180102 11:51:00,50.37,50.37,50.351,50.351,291036,2944,0,
20180102 11:52:00,50.36,50.36,50.36,50.36,291136,100,0,
20180102 11:54:00,50.351,50.36,50.351,50.36,295425,4163,0,
20180102 11:56:00,50.36,50.36,50.36,50.36,296697,1100,0,
20180102 11:57:00,50.36,50.36,50.36,50.36,297344,598,0,
20180102 11:59:00,50.36,50.36,50.36,50.36,299928,2300,0,
20180102 12:03:00,50.3601,50.3601,50.3601,50.3601,301129,1132,0,
20180102 12:04:00,50.375,50.375,50.375,50.375,301629,500,0,
20180102 12:11:00,50.4,50.4,50.4,50.4,301841,169,0,
20180102 12:12:00,50.4,50.41,50.39,50.39,304918,3037,0,
20180102 12:16:00,50.405,50.405,50.39,50.39,423247,118326,0,
20180102 12:17:00,50.39,50.405,50.39,50.405,444014,20767,0,
20180102 12:18:00,50.41,50.41,50.4,50.405,448014,4000,0,
20180102 12:19:00,50.41,50.41,50.41,50.41,471440,23426,0,
20180102 12:20:00,50.415,50.415,50.415,50.415,471740,300,0,
20180102 12:21:00,50.4,50.4,50.39,50.39,494617,22877,0,
20180102 12:22:00,50.4,50.4,50.4,50.4,494917,300,0,
20180102 12:24:00,50.41,50.41,50.41,50.41,495415,300,0,
20180102 12:25:00,50.4046,50.4046,50.4046,50.4046,495674,259,0,
20180102 12:26:00,50.405,50.405,50.405,50.405,496487,800,0,
20180102 12:27:00,50.4,50.4,50.4,50.4,496639,100,0,
20180102 12:28:00,50.395,50.395,50.39,50.39,497940,1300,0,
20180102 12:29:00,50.39,50.39,50.385,50.385,498182,200,0,
20180102 12:30:00,50.385,50.385,50.385,50.385,498768,500,0,
20180102 12:31:00,50.38,50.39,50.38,50.39,499468,700,0,
20180102 12:32:00,50.39,50.39,50.39,50.39,499868,400,0,
20180102 12:33:00,50.393,50.393,50.393,50.393,501617,1712,0,
