TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,6.69,6.7,6.69,6.7,1381,1379,0,
20180102 09:32:00,6.7,6.7,6.69,6.69,1661,200,0,
20180102 09:33:00,6.68,6.68,6.6595,6.68,4658,2997,0,
20180102 09:34:00,6.69,6.69,6.69,6.69,4858,100,0,
20180102 09:35:00,6.74,6.75,6.74,6.75,5158,300,0,
20180102 09:36:00,6.6774,6.94,6.6774,6.94,8498,2922,0,
20180102 09:39:00,6.8,6.86,6.8,6.82,9508,1000,0,
20180102 09:41:00,6.84,6.84,6.84,6.84,9608,100,0,
20180102 09:42:00,6.84,6.84,6.84,6.84,9908,300,0,
20180102 09:43:00,6.91,6.91,6.91,6.91,10208,300,0,
20180102 09:45:00,6.815,6.8778,6.815,6.8778,10408,200,0,
20180102 09:46:00,6.91,6.92,6.91,6.92,10608,200,0,
20180102 09:47:00,6.92,6.92,6.92,6.92,10908,300,0,
20180102 09:48:00,6.88,6.91,6.88,6.91,11108,200,0,
20180102 09:49:00,6.93,6.95,6.93,6.94,11628,500,0,
20180102 09:50:00,6.92,6.95,6.92,6.95,12228,600,0,
20180102 09:51:00,6.94,6.94,6.91,6.91,13690,1400,0,
20180102 09:52:00,6.87,6.9,6.87,6.9,14510,800,0,
20180102 09:53:00,6.91,6.91,6.91,6.91,14710,200,0,
20180102 09:54:00,6.92,6.92,6.92,6.92,15210,400,0,
20180102 09:55:00,6.93,7.02,6.92,7.01,18545,3232,0,
20180102 09:56:00,7.02,7.02,7.02,7.02,18685,140,0,
20180102 09:57:00,7.01,7.01,7.01,7.01,18985,300,0,
20180102 09:59:00,7.01,7.01,7.01,7.01,19095,100,0,
20180102 10:01:00,6.99,6.99,6.99,6.99,19395,300,0,
20180102 10:04:00,7,7,7,7,19768,300,0,
20180102 10:05:00,7,7,7,7,19868,100,0,
20180102 10:06:00,7,7,7,7,20268,400,0,
20180102 10:07:00,7,7,6.9984,7,21743,1475,0,
20180102 10:08:00,6.98,6.98,6.98,6.98,22463,500,0,
20180102 10:09:00,7,7,7,7,22563,100,0,
20180102 10:10:00,7,7,7,7,22863,300,0,
20180102 10:12:00,7.03,7.03,7.03,7.03,23063,200,0,
20180102 10:13:00,7.0093,7.05,7.0015,7.05,29545,6400,0,
20180102 10:14:00,7.05,7.05,7.05,7.05,29845,300,0,
20180102 10:15:00,7.05,7.06,7.05,7.06,30145,300,0,
20180102 10:17:00,7.05,7.05,7.03,7.03,30360,205,0,
20180102 10:18:00,7.05,7.05,7.05,7.05,30463,100,0,
20180102 10:19:00,7.0289,7.05,7.0289,7.05,31363,900,0,
20180102 10:21:00,7.07,7.09,7.055,7.07,35563,4200,0,
20180102 10:22:00,7.09,7.09,7.07,7.07,35963,400,0,
20180102 10:24:00,7.08,7.08,7.08,7.08,36214,200,0,
20180102 10:25:00,7.08,7.13,7.08,7.08,45895,9350,0,
20180102 10:26:00,7.14,7.18,7.14,7.18,46595,600,0,
20180102 10:27:00,7.166,7.166,7.14,7.14,47895,1300,0,
20180102 10:28:00,7.12,7.14,7.12,7.14,48295,320,0,
20180102 10:29:00,7.18,7.19,7.18,7.19,48745,449,0,
20180102 10:30:00,7.1731,7.2,7.1731,7.2,49916,1171,0,
20180102 10:31:00,7.2,7.2,7.19,7.1952,55865,5849,0,
20180102 10:32:00,7.16,7.168,7.15,7.15,56665,800,0,
20180102 10:37:00,7.1757,7.1757,7.1757,7.1757,57165,500,0,
20180102 10:38:00,7.196,7.196,7.196,7.196,57665,500,0,
20180102 10:39:00,7.25,7.25,7.25,7.25,57765,100,0,
20180102 10:40:00,7.21,7.21,7.21,7.21,58065,300,0,
20180102 10:41:00,7.19,7.19,7.17,7.1701,64165,6100,0,
20180102 10:42:00,7.08,7.08,7.08,7.08,64665,500,0,
20180102 10:43:00,7.1,7.19,7.07,7.07,65265,600,0,
20180102 10:46:00,7.11,7.11,7.11,7.11,65448,150,0,
20180102 10:47:00,7.0525,7.0525,7.003,7.003,66748,1300,0,
20180102 10:48:00,7.0474,7.104,7.0474,7.104,72748,6000,0,
20180102 10:49:00,7.12,7.12,7.12,7.12,73048,300,0,
20180102 10:51:00,7.1646,7.21,7.1646,7.18,74288,1200,0,
20180102 10:52:00,7.1965,7.1965,7.1851,7.1851,79873,5500,0,
20180102 10:53:00,7.176,7.176,7.17,7.17,80873,1000,0,
20180102 10:54:00,7.162,7.162,7.162,7.162,81373,500,0,
20180102 10:55:00,7.15,7.15,7.14,7.15,81673,300,0,
20180102 10:57:00,7.1497,7.162,7.1497,7.1497,83512,1700,0,
20180102 10:58:00,7.145,7.1897,7.145,7.1897,84512,1000,0,
20180102 11:00:00,7.182,7.182,7.182,7.182,85512,1000,0,
20180102 11:01:00,7.1997,7.1997,7.17,7.18,86912,1300,0,
20180102 11:06:00,7.19,7.19,7.19,7.19,87052,100,0,
20180102 11:07:00,7.18,7.19,7.18,7.19,87552,500,0,
20180102 11:11:00,7.1895,7.1895,7.1895,7.1895,87652,100,0,
20180102 11:13:00,7.1905,7.1905,7.1905,7.1905,87752,100,0,
20180102 11:15:00,7.1947,7.1947,7.1947,7.1947,89702,1950,0,
20180102 11:18:00,7.1809,7.1809,7.1809,7.1809,91804,2000,0,
20180102 11:19:00,7.17,7.1799,7.1643,7.1643,96404,4600,0,
20180102 11:20:00,7.17,7.17,7.17,7.17,96504,100,0,
20180102 11:21:00,7.19,7.21,7.19,7.19,97276,676,0,
20180102 11:26:00,7.17,7.1708,7.16,7.16,98610,1300,0,
20180102 11:27:00,7.18,7.18,7.18,7.18,98810,100,0,
20180102 11:28:00,7.1601,7.19,7.1601,7.19,100810,2000,0,
20180102 11:29:00,7.1759,7.191,7.1759,7.191,104560,3750,0,
20180102 11:33:00,7.18,7.18,7.18,7.18,104730,100,0,
20180102 11:34:00,7.18,7.18,7.18,7.18,106800,2000,0,
20180102 11:36:00,7.2,7.2,7.2,7.2,106900,100,0,
20180102 11:40:00,7.2,7.2216,7.19,7.19,109594,2600,0,
20180102 11:44:00,7.2,7.21,7.2,7.21,109794,200,0,
20180102 11:45:00,7.23,7.23,7.23,7.23,109894,100,0,
20180102 11:46:00,7.23,7.23,7.23,7.23,109994,100,0,
20180102 11:48:00,7.23,7.23,7.21,7.21,110294,300,0,
20180102 11:49:00,7.2101,7.2101,7.2101,7.2101,110749,425,0,
20180102 11:50:00,7.22,7.22,7.22,7.22,111489,700,0,
20180102 11:51:00,7.2185,7.22,7.2146,7.22,123544,12055,0,
20180102 11:52:00,7.2316,7.2316,7.21,7.2101,125844,2300,0,
20180102 11:55:00,7.2116,7.2116,7.2116,7.2116,126344,500,0,
20180102 11:56:00,7.23,7.23,7.21,7.23,127444,1000,0,
20180102 11:57:00,7.23,7.23,7.17,7.1801,129944,2500,0,
20180102 11:58:00,7.1888,7.1888,7.17,7.1888,132244,2300,0,
20180102 11:59:00,7.1888,7.1888,7.1888,7.1888,133344,1100,0,
20180102 12:09:00,7.23,7.23,7.23,7.23,133628,200,0,
20180102 12:12:00,7.24,7.24,7.24,7.24,133728,100,0,
20180102 12:13:00,7.25,7.25,7.25,7.25,135473,1441,0,
20180102 12:14:00,7.25,7.25,7.23,7.23,135973,500,0,
20180102 12:19:00,7.28,7.28,7.28,7.28,136079,100,0,
20180102 12:25:00,7.23,7.2576,7.23,7.24,139204,2767,0,
20180102 12:30:00,7.23,7.23,7.23,7.23,139304,100,0,
20180102 12:31:00,7.23,7.2325,7.23,7.2325,139704,400,0,
20180102 12:36:00,7.18,7.18,7.16,7.17,141904,2100,0,
20180102 12:42:00,7.1899,7.19,7.1899,7.19,143409,1440,0,
20180102 12:46:00,7.19,7.19,7.19,7.19,143509,100,0,
20180102 12:50:00,7.19,7.19,7.19,7.19,143609,100,0,
20180102 12:51:00,7.17,7.17,7.17,7.17,144464,840,0,
20180102 12:54:00,7.17,7.18,7.17,7.17,145371,882,0,
20180102 12:59:00,7.22,7.22,7.22,7.22,145471,100,0,
20180102 13:00:00,7.22,7.22,7.22,7.22,145571,100,0,
20180102 13:02:00,7.2073,7.2073,7.2073,7.2073,145821,250,0,
20180102 13:07:00,7.18,7.2,7.18,7.2,146021,200,0,
20180102 13:13:00,7.18,7.2,7.18,7.2,146321,300,0,
20180102 13:15:00,7.2,7.2,7.2,7.2,146421,100,0,
20180102 13:17:00,7.2,7.2,7.2,7.2,146521,100,0,
20180102 13:22:00,7.18,7.18,7.16,7.16,148121,1500,0,
20180102 13:24:00,7.15,7.15,7.15,7.15,148221,100,0,
20180102 13:32:00,7.14,7.14,7.14,7.14,148322,100,0,
20180102 13:33:00,7.14,7.14,7.14,7.14,148874,395,0,
20180102 13:48:00,7.16,7.16,7.16,7.16,149084,200,0,
20180102 13:52:00,7.15,7.15,7.15,7.15,149184,100,0,
20180102 13:54:00,7.169,7.169,7.169,7.169,150582,1398,0,
20180102 13:56:00,7.18,7.18,7.16,7.16,150782,200,0,
20180102 13:57:00,7.17,7.17,7.17,7.17,150882,100,0,
20180102 13:59:00,7.17,7.17,7.17,7.17,151692,720,0,
20180102 14:08:00,7.155,7.155,7.155,7.155,151792,100,0,
20180102 14:11:00,7.17,7.17,7.17,7.17,151892,100,0,
20180102 14:15:00,7.17,7.17,7.17,7.17,152248,300,0,
20180102 14:18:00,7.18,7.18,7.15,7.15,153048,700,0,
20180102 14:31:00,7.16,7.16,7.16,7.16,153258,100,0,
20180102 14:33:00,7.16,7.16,7.16,7.16,153458,200,0,
20180102 14:36:00,7.18,7.18,7.18,7.18,153653,100,0,
20180102 14:44:00,7.18,7.18,7.18,7.18,153988,200,0,
20180102 14:47:00,7.18,7.18,7.18,7.18,154188,100,0,
20180102 14:49:00,7.16,7.16,7.15,7.15,154888,600,0,
20180102 14:57:00,7.17,7.17,7.13,7.13,155812,900,0,
20180102 15:06:00,7.15,7.15,7.14,7.14,156162,300,0,
20180102 15:12:00,7.16,7.16,7.16,7.16,156483,200,0,
20180102 15:17:00,7.18,7.18,7.16,7.18,156787,300,0,
20180102 15:23:00,7.16,7.16,7.16,7.16,156987,200,0,
20180102 15:28:00,7.178,7.178,7.15,7.15,158487,1492,0,
20180102 15:29:00,7.18,7.18,7.18,7.18,158587,100,0,
20180102 15:30:00,7.18,7.18,7.18,7.18,158687,100,0,
20180102 15:31:00,7.17,7.17,7.16,7.17,160075,1108,0,
20180102 15:34:00,7.1686,7.1686,7.1686,7.1686,160225,150,0,
20180102 15:35:00,7.17,7.17,7.17,7.17,160325,100,0,
20180102 15:40:00,7.17,7.17,7.17,7.17,160435,100,0,
20180102 15:41:00,7.15,7.17,7.15,7.15,161117,600,0,
20180102 15:44:00,7.17,7.17,7.17,7.17,161258,100,0,
20180102 15:46:00,7.155,7.155,7.13,7.13,163706,2300,0,
20180102 15:47:00,7.135,7.135,7.13,7.13,163906,200,0,
20180102 15:48:00,7.13,7.14,7.13,7.14,164306,400,0,
20180102 15:50:00,7.12,7.14,7.12,7.14,165637,806,0,
20180102 15:53:00,7.1599,7.16,7.1599,7.16,166654,1000,0,
20180102 15:54:00,7.16,7.16,7.13,7.15,166991,300,0,
20180102 15:55:00,7.13,7.15,7.13,7.15,167887,700,0,
20180102 15:56:00,7.15,7.15,7.11,7.11,169887,1972,0,
20180102 15:57:00,7.13,7.13,7.12,7.12,171187,1300,0,
20180102 15:58:00,7.125,7.125,7.09,7.09,173746,2300,0,
20180102 15:59:00,7.11,7.12,7.1,7.1,180865,5500,0,
20180102 16:00:00,7.1,7.1,7.1,7.1,183448,2583,0,
