TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:37:00,175.24,175.24,175.24,175.24,2179,2025,0,
20180102 09:29:00,175.87,175.87,175.87,175.87,2926,725,0,
20180102 09:30:00,175.9,175.96,175.81,175.96,81240,75463,0,
20180102 09:31:00,175.96,175.97,175.71,175.72,92694,9955,0,
20180102 09:32:00,175.72,175.72,175.32,175.48,125608,12815,0,
20180102 09:33:00,175.34,175.62,175.26,175.515,132863,5800,0,
20180102 09:34:00,175.5738,175.79,175.35,175.4913,137820,3712,0,
20180102 09:35:00,175.43,175.5,175.35,175.5,141324,3193,0,
20180102 09:36:00,175.44,175.52,175.26,175.44,145281,2945,0,
20180102 09:37:00,175.45,175.75,175.45,175.75,148798,2507,0,
20180102 09:38:00,175.815,175.95,175.695,175.95,153365,2818,0,
20180102 09:39:00,175.98,176.16,175.925,176.16,161943,5392,0,
20180102 09:40:00,176.2,176.34,176.07,176.15,173601,9665,0,
20180102 09:41:00,176.215,176.49,176.215,176.49,177442,3300,0,
20180102 09:42:00,176.4,176.75,176.4,176.5732,185074,6029,0,
20180102 09:43:00,176.575,176.71,176.375,176.3755,208981,22282,0,
20180102 09:44:00,176.375,176.5908,176.375,176.41,215636,5645,0,
20180102 09:45:00,176.445,176.84,176.445,176.84,224929,5695,0,
20180102 09:46:00,176.77,176.77,176.265,176.31,235226,7377,0,
20180102 09:47:00,176.54,176.74,176.461,176.605,244232,7535,0,
20180102 09:48:00,176.73,176.74,176.51,176.62,249605,4400,0,
20180102 09:49:00,176.74,176.95,176.66,176.89,263243,9674,0,
20180102 09:50:00,176.88,177.15,176.79,176.9,281233,13125,0,
20180102 09:51:00,176.81,176.87,176.59,176.85,288197,4033,0,
20180102 09:52:00,176.75,176.84,176.66,176.83,290176,1864,0,
20180102 09:53:00,176.68,176.8,176.62,176.675,298139,5307,0,
20180102 09:54:00,176.75,176.75,176.41,176.4576,314256,14392,0,
20180102 09:55:00,176.42,176.42,176.07,176.07,319336,2314,0,
20180102 09:56:00,176.095,176.32,176.07,176.28,323987,3082,0,
20180102 09:57:00,176.33,176.49,176.28,176.4,329395,3627,0,
20180102 09:58:00,176.4,176.7,176.4,176.635,335156,3989,0,
20180102 09:59:00,176.6734,176.91,176.56,176.9,340987,3121,0,
20180102 10:00:00,176.77,176.96,176.32,176.44,354459,7400,0,
20180102 10:01:00,176.44,176.59,176.201,176.33,369009,13198,0,
20180102 10:02:00,176.42,176.56,176.33,176.56,372182,1924,0,
20180102 10:03:00,176.565,176.69,176.45,176.58,376237,3319,0,
20180102 10:04:00,176.54,176.62,176.52,176.52,380724,3900,0,
20180102 10:05:00,176.57,176.6023,176.324,176.42,386852,4221,0,
20180102 10:06:00,176.41,176.59,176.41,176.49,394113,5333,0,
20180102 10:07:00,176.49,176.49,176.29,176.31,402771,5929,0,
20180102 10:08:00,176.3355,176.3355,176.22,176.27,405054,1900,0,
20180102 10:09:00,176.2265,176.26,176.21,176.23,407753,2168,0,
20180102 10:10:00,176.22,176.27,176.17,176.26,412533,3867,0,
20180102 10:11:00,176.3007,176.3007,176.18,176.1908,419097,4809,0,
20180102 10:12:00,176.24,176.37,176.205,176.35,422213,2378,0,
20180102 10:13:00,176.34,176.41,176.3123,176.39,425767,2822,0,
20180102 10:14:00,176.36,176.49,176.36,176.435,430473,2986,0,
20180102 10:15:00,176.435,176.54,176.4,176.54,436007,3485,0,
20180102 10:16:00,176.48,176.56,176.42,176.56,443500,5434,0,
20180102 10:17:00,176.5549,176.63,176.5,176.51,452230,6833,0,
20180102 10:18:00,176.56,176.65,176.505,176.65,458948,5236,0,
20180102 10:19:00,176.669,176.669,176.38,176.4411,462793,2736,0,
