TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,51.61,51.61,51.61,51.61,808,808,0,
20180102 09:33:00,51.61,51.615,51.56,51.615,1685,840,0,
20180102 09:38:00,51.26,51.26,51.26,51.26,1792,100,0,
20180102 09:41:00,51.42,51.42,51.3,51.3,2392,400,0,
20180102 09:43:00,51.335,51.335,51.29,51.29,2934,425,0,
20180102 09:46:00,51.31,51.335,51.25,51.3,3843,500,0,
20180102 09:48:00,51.22,51.22,51.22,51.22,4283,300,0,
20180102 09:49:00,51.21,51.21,51.07,51.07,4682,200,0,
20180102 09:50:00,51.14,51.14,51.14,51.14,5035,300,0,
20180102 09:51:00,51.09,51.09,51.09,51.09,5226,100,0,
20180102 09:55:00,51.09,51.13,51.09,51.13,5541,300,0,
20180102 09:57:00,51.18,51.18,51.045,51.045,5984,357,0,
20180102 10:02:00,51.22,51.245,51.22,51.245,6250,200,0,
20180102 10:03:00,51.26,51.26,51.26,51.26,6450,200,0,
20180102 10:04:00,51.27,51.27,51.27,51.27,6668,218,0,
20180102 10:06:00,51.346,51.346,51.32,51.32,6917,247,0,
20180102 10:07:00,51.315,51.4,51.315,51.4,7342,400,0,
20180102 10:08:00,51.4,51.41,51.39,51.39,7855,300,0,
20180102 10:10:00,51.43,51.43,51.43,51.43,7955,100,0,
20180102 10:11:00,51.37,51.37,51.31,51.31,8818,668,0,
20180102 10:13:00,51.26,51.27,51.24,51.24,9722,700,0,
20180102 10:14:00,51.33,51.33,51.33,51.33,9862,100,0,
20180102 10:17:00,51.285,51.285,51.285,51.285,10280,200,0,
20180102 10:18:00,51.27,51.27,51.27,51.27,10897,516,0,
20180102 10:19:00,51.26,51.26,51.22,51.22,11425,500,0,
20180102 10:20:00,51.245,51.245,51.245,51.245,11625,200,0,
20180102 10:21:00,51.24,51.24,51.24,51.24,11865,232,0,
20180102 10:24:00,51.23,51.23,51.16,51.16,12619,600,0,
20180102 10:29:00,51.23,51.29,51.22,51.26,14690,1981,0,
20180102 10:30:00,51.28,51.28,51.28,51.28,14790,100,0,
20180102 10:33:00,51.255,51.255,51.23,51.245,15685,700,0,
20180102 10:35:00,51.26,51.31,51.25,51.31,16792,996,0,
20180102 10:36:00,51.25,51.25,51.18,51.18,19304,2398,0,
20180102 10:39:00,51.22,51.27,51.19,51.27,20169,750,0,
20180102 10:40:00,51.25,51.25,51.25,51.25,20369,200,0,
20180102 10:41:00,51.27,51.31,51.27,51.31,20671,300,0,
20180102 10:49:00,51.28,51.33,51.17,51.17,23437,2200,0,
20180102 10:50:00,51.26,51.26,51.26,51.26,23537,100,0,
20180102 10:51:00,51.21,51.21,51.21,51.21,23637,100,0,
20180102 10:52:00,51.24,51.32,51.24,51.31,25035,1200,0,
20180102 10:53:00,51.26,51.27,51.26,51.27,25335,300,0,
20180102 10:55:00,51.27,51.27,51.22,51.25,26726,1227,0,
20180102 10:56:00,51.18,51.18,51.18,51.18,26826,100,0,
20180102 10:57:00,51.16,51.16,51.16,51.16,27067,100,0,
20180102 10:59:00,51.18,51.18,51.18,51.18,27567,500,0,
20180102 11:00:00,51.16,51.22,51.15,51.22,28777,1100,0,
20180102 11:02:00,51.205,51.22,51.205,51.22,29696,800,0,
20180102 11:03:00,51.2,51.2,51.165,51.165,30412,700,0,
20180102 11:06:00,51.15,51.18,51.15,51.18,30714,213,0,
20180102 11:07:00,51.22,51.22,51.205,51.205,30914,200,0,
20180102 11:08:00,51.2,51.22,51.16,51.22,33975,2340,0,
20180102 11:10:00,51.23,51.28,51.2,51.2,34875,700,0,
20180102 11:11:00,51.24,51.24,51.24,51.24,35075,200,0,
20180102 11:13:00,51.2171,51.2171,51.2171,51.2171,35209,100,0,
20180102 11:15:00,51.225,51.225,51.225,51.225,35409,200,0,
20180102 11:16:00,51.2,51.22,51.2,51.2,36332,800,0,
20180102 11:17:00,51.24,51.24,51.19,51.19,36538,200,0,
20180102 11:22:00,51.19,51.22,51.17,51.22,37287,600,0,
20180102 11:28:00,51.17,51.17,51.12,51.12,38078,600,0,
20180102 11:30:00,51.1035,51.1035,51.1035,51.1035,38283,200,0,
20180102 11:31:00,51.13,51.13,51.07,51.07,41341,2705,0,
20180102 11:32:00,51.12,51.16,51.12,51.16,42357,916,0,
20180102 11:33:00,51.18,51.18,51.18,51.18,42457,100,0,
20180102 11:34:00,51.155,51.155,51.155,51.155,42557,100,0,
20180102 11:35:00,51.15,51.15,51.15,51.15,42657,100,0,
20180102 11:36:00,51.15,51.15,51.15,51.15,42857,200,0,
20180102 11:37:00,51.13,51.13,51.11,51.11,43874,800,0,
20180102 11:40:00,51.1362,51.14,51.1362,51.14,44518,458,0,
20180102 11:41:00,51.145,51.18,51.145,51.145,45718,1200,0,
20180102 11:42:00,51.165,51.2,51.15,51.15,46318,600,0,
20180102 11:43:00,51.17,51.17,51.17,51.17,46418,100,0,
20180102 11:44:00,51.21,51.22,51.2,51.2,47235,700,0,
20180102 11:46:00,51.19,51.19,51.19,51.19,47335,100,0,
20180102 11:48:00,51.17,51.17,51.17,51.17,47467,100,0,
20180102 11:49:00,51.22,51.26,51.22,51.26,48556,989,0,
20180102 11:50:00,51.27,51.29,51.27,51.29,49056,500,0,
20180102 11:51:00,51.352,51.352,51.352,51.352,49371,195,0,
20180102 11:54:00,51.3994,51.3994,51.37,51.37,50145,774,0,
20180102 11:55:00,51.38,51.38,51.38,51.38,50445,300,0,
20180102 11:57:00,51.4,51.4,51.38,51.38,50965,500,0,
20180102 11:58:00,51.415,51.415,51.39,51.39,51952,844,0,
