TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,9.67,9.67,9.67,9.67,407,407,0,
20180102 09:37:00,9.69,9.69,9.68,9.69,875,300,0,
20180102 09:39:00,9.7,9.7,9.7,9.7,1096,101,0,
20180102 09:40:00,9.66,9.66,9.66,9.66,1696,500,0,
20180102 09:41:00,9.61,9.63,9.61,9.63,2036,300,0,
20180102 09:42:00,9.62,9.65,9.6,9.64,3636,1600,0,
20180102 09:44:00,9.61,9.67,9.61,9.65,3957,321,0,
20180102 09:46:00,9.62,9.62,9.58,9.59,6358,2244,0,
20180102 09:49:00,9.55,9.58,9.55,9.58,7084,400,0,
20180102 09:51:00,9.57,9.62,9.57,9.62,7454,300,0,
20180102 10:02:00,9.7,9.7,9.7,9.7,7980,400,0,
20180102 10:03:00,9.745,9.745,9.745,9.745,8080,100,0,
20180102 10:07:00,9.778,9.8,9.77,9.77,9280,1200,0,
20180102 10:08:00,9.83,9.83,9.83,9.83,9380,100,0,
20180102 10:16:00,9.82,9.82,9.75,9.75,11257,1800,0,
20180102 10:17:00,9.76,9.77,9.76,9.7695,11557,300,0,
20180102 10:18:00,9.77,9.77,9.77,9.77,11657,100,0,
20180102 10:21:00,9.71,9.71,9.68,9.68,11892,200,0,
20180102 10:25:00,9.66,9.74,9.66,9.73,12422,500,0,
20180102 10:29:00,9.6399,9.64,9.6399,9.64,13322,900,0,
20180102 10:30:00,9.645,9.6495,9.645,9.645,14022,700,0,
20180102 10:33:00,9.6503,9.6503,9.6503,9.6503,14377,325,0,
20180102 10:36:00,9.63,9.63,9.63,9.63,14877,400,0,
20180102 10:38:00,9.61,9.62,9.61,9.62,15177,200,0,
20180102 10:39:00,9.62,9.62,9.62,9.62,15277,100,0,
20180102 10:40:00,9.6,9.645,9.6,9.645,16211,900,0,
20180102 10:42:00,9.7024,9.7024,9.7024,9.7024,16466,255,0,
20180102 10:43:00,9.675,9.675,9.675,9.675,16566,100,0,
20180102 10:44:00,9.66,9.66,9.66,9.66,16766,200,0,
20180102 10:45:00,9.69,9.69,9.69,9.69,16911,100,0,
20180102 10:46:00,9.68,9.68,9.665,9.665,17211,300,0,
20180102 10:50:00,9.63,9.63,9.63,9.63,17511,100,0,
20180102 10:51:00,9.64,9.65,9.535,9.535,29586,11726,0,
20180102 10:52:00,9.56,9.56,9.55,9.55,29886,300,0,
20180102 10:54:00,9.56,9.56,9.56,9.56,29986,100,0,
20180102 10:55:00,9.56,9.56,9.55,9.55,30186,200,0,
20180102 10:56:00,9.53,9.54,9.53,9.53,30486,300,0,
20180102 10:57:00,9.55,9.57,9.55,9.57,30726,200,0,
20180102 10:58:00,9.545,9.545,9.545,9.545,31136,400,0,
20180102 10:59:00,9.54,9.54,9.52,9.52,31436,300,0,
20180102 11:00:00,9.53,9.53,9.53,9.53,31536,100,0,
20180102 11:01:00,9.53,9.53,9.53,9.53,31636,100,0,
20180102 11:03:00,9.53,9.53,9.53,9.53,31736,100,0,
20180102 11:04:00,9.53,9.55,9.53,9.55,32420,600,0,
20180102 11:07:00,9.53,9.53,9.53,9.53,32580,100,0,
20180102 11:08:00,9.535,9.535,9.535,9.535,32980,400,0,
20180102 11:09:00,9.52,9.52,9.52,9.52,33080,100,0,
20180102 11:10:00,9.55,9.55,9.55,9.55,33842,400,0,
20180102 11:12:00,9.59,9.59,9.59,9.59,33984,100,0,
20180102 11:14:00,9.6,9.6,9.5942,9.5999,34598,600,0,
20180102 11:15:00,9.64,9.64,9.64,9.64,34869,140,0,
20180102 11:16:00,9.625,9.625,9.62,9.625,35269,400,0,
20180102 11:17:00,9.6228,9.6228,9.62,9.62,35985,600,0,
20180102 11:19:00,9.61,9.625,9.59,9.59,36548,560,0,
20180102 11:21:00,9.59,9.59,9.59,9.59,36686,100,0,
20180102 11:22:00,9.56,9.56,9.56,9.56,36786,100,0,
20180102 11:23:00,9.56,9.56,9.55,9.55,38786,1966,0,
20180102 11:24:00,9.55,9.55,9.535,9.535,40328,1300,0,
20180102 11:25:00,9.535,9.535,9.535,9.535,40428,100,0,
20180102 11:26:00,9.535,9.535,9.53,9.53,41128,700,0,
20180102 11:27:00,9.53,9.53,9.53,9.53,41528,400,0,
20180102 11:28:00,9.53,9.53,9.53,9.53,41828,300,0,
20180102 11:29:00,9.53,9.55,9.53,9.53,43028,1200,0,
20180102 11:30:00,9.53,9.53,9.53,9.53,43428,400,0,
20180102 11:31:00,9.53,9.54,9.51,9.53,45128,1700,0,
20180102 11:32:00,9.53,9.53,9.53,9.53,46028,800,0,
20180102 11:33:00,9.52,9.56,9.52,9.55,49928,3871,0,
20180102 11:34:00,9.54,9.54,9.53,9.54,51279,1200,0,
20180102 11:35:00,9.55,9.55,9.54,9.54,51879,600,0,
20180102 11:36:00,9.56,9.56,9.55,9.55,53319,1000,0,
20180102 11:37:00,9.545,9.55,9.535,9.535,54319,1000,0,
20180102 11:38:00,9.53,9.545,9.53,9.545,54719,400,0,
20180102 11:39:00,9.545,9.56,9.545,9.56,55219,500,0,
20180102 11:40:00,9.545,9.545,9.545,9.545,55619,400,0,
20180102 11:41:00,9.545,9.56,9.545,9.56,55919,300,0,
20180102 11:42:00,9.545,9.545,9.545,9.545,56219,300,0,
20180102 11:43:00,9.53,9.54,9.53,9.54,57388,1100,0,
20180102 11:44:00,9.54,9.54,9.52,9.52,58088,700,0,
20180102 11:45:00,9.525,9.55,9.525,9.545,61380,3240,0,
20180102 11:46:00,9.54,9.54,9.51,9.51,62480,1100,0,
20180102 11:47:00,9.51,9.51,9.5,9.51,64458,1800,0,
20180102 11:48:00,9.5191,9.5191,9.51,9.51,65078,620,0,
20180102 11:51:00,9.52,9.52,9.52,9.52,65378,300,0,
20180102 11:52:00,9.52,9.52,9.48,9.48,70078,4700,0,
20180102 11:53:00,9.48,9.48,9.48,9.48,70378,300,0,
20180102 11:55:00,9.48,9.48,9.48,9.48,70478,100,0,
20180102 11:57:00,9.48,9.48,9.48,9.48,70578,100,0,
20180102 11:58:00,9.48,9.48,9.48,9.48,70778,200,0,
20180102 11:59:00,9.51,9.51,9.51,9.51,71078,300,0,
20180102 12:01:00,9.4945,9.51,9.46,9.51,72578,1500,0,
20180102 12:05:00,9.48,9.48,9.48,9.48,72678,100,0,
20180102 12:07:00,9.49,9.49,9.49,9.49,72879,200,0,
20180102 12:08:00,9.49,9.49,9.47,9.47,73079,200,0,
20180102 12:09:00,9.47,9.49,9.47,9.49,73279,200,0,
20180102 12:11:00,9.5,9.51,9.5,9.505,77679,4100,0,
20180102 12:12:00,9.505,9.505,9.505,9.505,78279,600,0,
20180102 12:13:00,9.505,9.505,9.49,9.505,78879,600,0,
20180102 12:14:00,9.52,9.52,9.52,9.52,78979,100,0,
20180102 12:15:00,9.505,9.505,9.505,9.505,79479,500,0,
20180102 12:18:00,9.505,9.505,9.505,9.505,80079,600,0,
20180102 12:20:00,9.505,9.505,9.505,9.505,80379,300,0,
20180102 12:22:00,9.505,9.505,9.505,9.505,80689,300,0,
20180102 12:23:00,9.505,9.505,9.505,9.505,81089,400,0,
20180102 12:24:00,9.52,9.52,9.49,9.5,81389,300,0,
20180102 12:25:00,9.5,9.5,9.5,9.5,81789,400,0,
20180102 12:26:00,9.5,9.5,9.5,9.5,82189,400,0,
20180102 12:27:00,9.5,9.5,9.5,9.5,82296,100,0,
20180102 12:28:00,9.5,9.52,9.5,9.515,83448,800,0,
20180102 12:29:00,9.5,9.5,9.5,9.5,83550,100,0,
20180102 12:31:00,9.5014,9.5014,9.5014,9.5014,83650,100,0,
20180102 12:32:00,9.51,9.51,9.51,9.51,83750,100,0,
20180102 12:33:00,9.51,9.51,9.5,9.51,85150,1400,0,
20180102 12:34:00,9.5,9.5,9.49,9.49,85850,700,0,
20180102 12:35:00,9.5,9.5,9.5,9.5,86050,200,0,
20180102 12:36:00,9.49,9.49,9.49,9.49,86350,300,0,
20180102 12:37:00,9.49,9.49,9.475,9.49,87050,700,0,
20180102 12:38:00,9.47,9.47,9.47,9.47,87150,100,0,
20180102 12:40:00,9.49,9.5,9.49,9.5,87474,300,0,
20180102 12:42:00,9.4738,9.485,9.4738,9.485,88024,550,0,
20180102 12:44:00,9.47,9.47,9.47,9.47,88124,100,0,
20180102 12:45:00,9.485,9.485,9.485,9.485,88224,100,0,
20180102 12:49:00,9.485,9.485,9.485,9.485,88324,100,0,
20180102 12:52:00,9.485,9.485,9.485,9.485,88424,100,0,
20180102 12:53:00,9.47,9.47,9.47,9.47,88524,100,0,
20180102 12:54:00,9.46,9.46,9.46,9.46,88624,100,0,
20180102 12:55:00,9.478,9.49,9.475,9.49,89124,500,0,
20180102 12:57:00,9.46,9.49,9.46,9.49,89329,200,0,
20180102 13:02:00,9.48,9.48,9.48,9.48,89429,100,0,
20180102 13:04:00,9.48,9.48,9.48,9.48,89529,100,0,
20180102 13:05:00,9.48,9.48,9.48,9.48,89729,200,0,
20180102 13:06:00,9.49,9.49,9.49,9.49,89829,100,0,
20180102 13:07:00,9.485,9.49,9.485,9.49,90337,508,0,
20180102 13:09:00,9.5,9.51,9.5,9.5,91502,1100,0,
20180102 13:10:00,9.49,9.5,9.49,9.5,92002,500,0,
20180102 13:12:00,9.51,9.51,9.51,9.51,92102,100,0,
20180102 13:14:00,9.49,9.49,9.49,9.49,92202,100,0,
20180102 13:15:00,9.5,9.5,9.49,9.5,92802,600,0,
20180102 13:16:00,9.5,9.5,9.5,9.5,92902,100,0,
20180102 13:17:00,9.505,9.51,9.505,9.51,94331,1200,0,
20180102 13:18:00,9.51,9.51,9.51,9.51,94432,100,0,
20180102 13:20:00,9.5,9.5,9.5,9.5,94632,100,0,
20180102 13:23:00,9.495,9.495,9.495,9.495,94821,100,0,
20180102 13:24:00,9.495,9.495,9.495,9.495,94921,100,0,
20180102 13:25:00,9.495,9.495,9.48,9.49,95621,700,0,
20180102 13:26:00,9.485,9.485,9.47,9.47,95821,200,0,
20180102 13:27:00,9.5,9.5,9.485,9.485,96310,300,0,
20180102 13:29:00,9.48,9.48,9.48,9.48,96410,100,0,
20180102 13:30:00,9.48,9.5,9.47,9.5,96710,300,0,
20180102 13:31:00,9.47,9.47,9.47,9.47,96810,100,0,
20180102 13:32:00,9.48,9.48,9.48,9.48,96910,100,0,
20180102 13:34:00,9.5,9.5,9.48,9.48,97210,300,0,
20180102 13:37:00,9.48,9.5,9.48,9.5,97410,200,0,
20180102 13:38:00,9.48,9.48,9.48,9.48,97510,100,0,
20180102 13:41:00,9.48,9.48,9.48,9.48,97610,100,0,
20180102 13:45:00,9.485,9.485,9.485,9.485,97710,100,0,
20180102 13:46:00,9.47,9.47,9.47,9.47,97810,100,0,
20180102 13:47:00,9.47,9.49,9.47,9.49,98196,300,0,
20180102 13:54:00,9.46,9.46,9.46,9.46,98380,100,0,
20180102 13:55:00,9.475,9.475,9.475,9.475,98480,100,0,
20180102 13:56:00,9.4651,9.4651,9.4651,9.4651,101480,3000,0,
20180102 13:58:00,9.49,9.49,9.49,9.49,101616,100,0,
20180102 13:59:00,9.46,9.49,9.46,9.48,102416,800,0,
20180102 14:01:00,9.475,9.475,9.475,9.475,102580,100,0,
20180102 14:02:00,9.48,9.48,9.48,9.48,103031,300,0,
20180102 14:05:00,9.461,9.461,9.46,9.46,103501,320,0,
20180102 14:08:00,9.47,9.47,9.47,9.47,103701,200,0,
20180102 14:12:00,9.47,9.47,9.47,9.47,104101,400,0,
20180102 14:14:00,9.4686,9.4686,9.4686,9.4686,104251,150,0,
20180102 14:15:00,9.47,9.47,9.47,9.47,104382,100,0,
20180102 14:17:00,9.47,9.47,9.47,9.47,104482,100,0,
20180102 14:18:00,9.47,9.47,9.45,9.455,107559,2976,0,
20180102 14:19:00,9.455,9.455,9.455,9.455,107759,200,0,
20180102 14:20:00,9.44,9.44,9.42,9.425,108559,800,0,
20180102 14:21:00,9.415,9.415,9.415,9.415,108659,100,0,
20180102 14:24:00,9.43,9.43,9.43,9.43,109106,347,0,
20180102 14:26:00,9.43,9.43,9.4,9.415,109506,400,0,
20180102 14:27:00,9.43,9.43,9.43,9.43,109606,100,0,
20180102 14:28:00,9.43,9.43,9.42,9.42,109906,200,0,
20180102 14:30:00,9.44,9.45,9.44,9.45,110343,400,0,
20180102 14:33:00,9.45,9.45,9.45,9.45,110443,100,0,
20180102 14:36:00,9.43,9.44,9.42,9.42,110918,400,0,
20180102 14:38:00,9.43,9.43,9.43,9.43,111018,100,0,
20180102 14:39:00,9.44,9.44,9.42,9.43,111518,500,0,
20180102 14:41:00,9.425,9.425,9.425,9.425,111618,100,0,
20180102 14:42:00,9.425,9.425,9.425,9.425,111818,200,0,
20180102 14:44:00,9.41,9.41,9.41,9.41,112150,200,0,
20180102 14:47:00,9.4101,9.44,9.4101,9.44,113428,1100,0,
20180102 14:49:00,9.41,9.43,9.41,9.43,113828,300,0,
20180102 14:50:00,9.43,9.43,9.4289,9.4289,114078,250,0,
20180102 14:51:00,9.43,9.43,9.43,9.43,114780,400,0,
20180102 14:52:00,9.433,9.433,9.433,9.433,115280,500,0,
20180102 14:54:00,9.42,9.44,9.42,9.4201,116037,757,0,
20180102 14:57:00,9.45,9.45,9.45,9.45,116137,100,0,
20180102 14:58:00,9.45,9.45,9.45,9.45,116237,100,0,
20180102 14:59:00,9.4425,9.4425,9.43,9.44,117738,1300,0,
20180102 15:02:00,9.44,9.44,9.44,9.44,117938,200,0,
20180102 15:03:00,9.44,9.44,9.44,9.44,118138,200,0,
20180102 15:05:00,9.44,9.44,9.44,9.44,118261,100,0,
20180102 15:07:00,9.45,9.45,9.45,9.45,118361,100,0,
20180102 15:08:00,9.44,9.44,9.43,9.43,119134,700,0,
20180102 15:10:00,9.425,9.44,9.425,9.425,119919,700,0,
20180102 15:13:00,9.44,9.44,9.44,9.44,120019,100,0,
20180102 15:14:00,9.41,9.41,9.41,9.41,120224,200,0,
20180102 15:15:00,9.44,9.44,9.44,9.44,120324,100,0,
20180102 15:18:00,9.44,9.44,9.44,9.44,120919,500,0,
20180102 15:19:00,9.44,9.44,9.44,9.44,121019,100,0,
20180102 15:20:00,9.44,9.44,9.43,9.44,122719,1500,0,
20180102 15:22:00,9.43,9.43,9.43,9.43,122819,100,0,
20180102 15:23:00,9.41,9.43,9.41,9.43,123219,400,0,
20180102 15:24:00,9.43,9.43,9.42,9.42,123519,300,0,
20180102 15:25:00,9.42,9.42,9.41,9.41,123719,200,0,
20180102 15:27:00,9.425,9.43,9.425,9.43,123919,200,0,
20180102 15:28:00,9.44,9.44,9.43,9.44,124556,500,0,
20180102 15:29:00,9.42,9.435,9.42,9.435,124871,300,0,
20180102 15:30:00,9.435,9.435,9.42,9.42,125671,800,0,
20180102 15:31:00,9.43,9.45,9.43,9.45,125932,200,0,
20180102 15:32:00,9.435,9.435,9.43,9.43,126757,700,0,
20180102 15:33:00,9.43,9.43,9.43,9.43,126957,200,0,
20180102 15:35:00,9.43,9.44,9.42,9.44,127457,400,0,
20180102 15:36:00,9.43,9.43,9.43,9.43,127757,300,0,
20180102 15:37:00,9.43,9.44,9.43,9.4396,128257,500,0,
20180102 15:38:00,9.43,9.43,9.43,9.43,128357,100,0,
20180102 15:39:00,9.43,9.43,9.43,9.43,129211,600,0,
20180102 15:40:00,9.42,9.42,9.42,9.42,129411,100,0,
20180102 15:43:00,9.435,9.435,9.42,9.42,129951,400,0,
20180102 15:44:00,9.44,9.45,9.43,9.45,130656,300,0,
20180102 15:45:00,9.46,9.46,9.46,9.46,131295,500,0,
20180102 15:48:00,9.47,9.47,9.47,9.47,132221,700,0,
20180102 15:49:00,9.47,9.48,9.46,9.47,132642,400,0,
20180102 15:50:00,9.48,9.48,9.46,9.48,132963,300,0,
20180102 15:51:00,9.48,9.49,9.48,9.48,134147,1084,0,
20180102 15:52:00,9.49,9.49,9.485,9.485,134630,483,0,
20180102 15:53:00,9.485,9.5,9.47,9.5,135203,500,0,
20180102 15:54:00,9.49,9.49,9.49,9.49,135377,100,0,
20180102 15:55:00,9.47,9.49,9.47,9.49,135784,400,0,
20180102 15:56:00,9.49,9.5,9.48,9.48,137006,1100,0,
20180102 15:57:00,9.49,9.5,9.48,9.49,139494,1615,0,
20180102 15:58:00,9.49,9.5,9.49,9.49,147286,6999,0,
20180102 15:59:00,9.5,9.5,9.49,9.5,154548,6693,0,
20180102 16:00:00,9.5,9.5,9.5,9.5,163234,8686,0,
