TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:00:00,87.39,87.39,87.39,87.39,100,100,0,
20180102 08:51:00,89,89,89,89,608,508,0,
20180102 09:25:00,89.47,89.47,89.47,89.47,718,100,0,
20180102 09:29:00,89.17,89.26,89.16,89.26,5523,4805,0,
20180102 09:30:00,89.24,89.49,89.21,89.21,52954,45909,0,
20180102 09:31:00,89.21,89.255,89.08,89.13,57484,4104,0,
20180102 09:32:00,89.1,89.18,89.09,89.09,61323,3472,0,
20180102 09:33:00,89.11,89.12,88.98,89,72456,10143,0,
20180102 09:34:00,89.06,89.12,88.93,88.93,78745,5543,0,
20180102 09:35:00,89.01,89.11,88.93,89.0299,89671,9359,0,
20180102 09:36:00,88.98,89.12,88.97,89.04,92370,1615,0,
20180102 09:37:00,89.03,89.1623,89.03,89.1623,93666,500,0,
20180102 09:38:00,89.12,89.12,89.0045,89.03,100472,5421,0,
20180102 09:39:00,89.03,89.18,89.03,89.18,104256,2909,0,
20180102 09:40:00,89.2,89.26,89.17,89.17,106501,1881,0,
20180102 09:41:00,89.2259,89.27,89.21,89.27,108136,511,0,
20180102 09:42:00,89.35,89.39,89.31,89.31,112063,2964,0,
20180102 09:43:00,89.33,89.35,89.23,89.23,115028,2894,0,
20180102 09:44:00,89.32,89.36,89.24,89.24,119285,3388,0,
20180102 09:45:00,89.3299,89.41,89.28,89.31,122746,2606,0,
20180102 09:46:00,89.32,89.44,89.32,89.42,125959,2026,0,
20180102 09:47:00,89.44,89.53,89.4161,89.53,129551,2578,0,
20180102 09:48:00,89.53,89.56,89.49,89.5,136283,5326,0,
20180102 09:49:00,89.48,89.52,89.42,89.47,143917,7225,0,
20180102 09:50:00,89.47,89.55,89.465,89.51,150289,5276,0,
20180102 09:51:00,89.526,89.64,89.51,89.6,156675,5113,0,
20180102 09:52:00,89.6,89.65,89.56,89.5924,162162,5045,0,
20180102 09:53:00,89.61,89.67,89.61,89.62,164615,2000,0,
20180102 09:54:00,89.62,89.65,89.58,89.58,166488,1600,0,
20180102 09:55:00,89.58,89.58,89.45,89.45,168598,2000,0,
20180102 09:56:00,89.45,89.53,89.37,89.44,176782,7640,0,
20180102 09:57:00,89.4,89.49,89.4,89.46,178944,1573,0,
20180102 09:58:00,89.52,89.62,89.51,89.62,181837,1900,0,
20180102 09:59:00,89.64,89.69,89.58,89.6,187498,3708,0,
20180102 10:00:00,89.61,89.69,89.61,89.6524,194650,5019,0,
20180102 10:01:00,89.64,89.68,89.58,89.67,198831,3438,0,
20180102 10:02:00,89.66,89.71,89.61,89.68,202028,2900,0,
20180102 10:03:00,89.65,89.65,89.59,89.5901,206477,3000,0,
20180102 10:04:00,89.6,89.61,89.52,89.54,226767,18469,0,
20180102 10:05:00,89.6,89.68,89.58,89.68,229384,2050,0,
20180102 10:06:00,89.71,89.7266,89.67,89.6949,232542,2603,0,
20180102 10:07:00,89.72,89.74,89.7,89.7,234896,2000,0,
20180102 10:08:00,89.72,89.82,89.7,89.82,237999,2040,0,
20180102 10:09:00,89.7843,89.79,89.76,89.77,241596,2794,0,
20180102 10:10:00,89.83,89.83,89.83,89.83,242163,100,0,
20180102 10:11:00,89.79,89.85,89.77,89.85,247132,4285,0,
20180102 10:12:00,89.8,89.85,89.8,89.8,249014,1100,0,
20180102 10:13:00,89.84,89.84,89.77,89.82,254695,3875,0,
20180102 10:14:00,89.82,89.82,89.76,89.76,258248,3269,0,
20180102 10:15:00,89.78,89.79,89.73,89.73,262036,3100,0,
20180102 10:16:00,89.73,89.79,89.7242,89.77,266098,3213,0,
20180102 10:17:00,89.8,89.86,89.78,89.821,268002,1570,0,
20180102 10:18:00,89.86,89.9,89.83,89.9,274897,5373,0,
20180102 10:19:00,89.8904,89.905,89.865,89.9,279176,3220,0,
20180102 10:20:00,89.885,89.94,89.885,89.91,282646,2800,0,
20180102 10:21:00,89.92,89.97,89.92,89.97,285936,2460,0,
20180102 10:22:00,89.97,90,89.96,89.98,290022,2919,0,
20180102 10:23:00,89.96,90,89.955,89.97,294778,3941,0,
20180102 10:24:00,89.97,90.07,89.97,90.07,316775,19279,0,
20180102 10:25:00,90.08,90.14,90.06,90.14,325003,7642,0,
20180102 10:26:00,90.13,90.15,90.12,90.14,327742,2152,0,
20180102 10:27:00,90.16,90.16,90.09,90.13,334594,5800,0,
20180102 10:28:00,90.1,90.15,90.04,90.04,339320,3400,0,
