TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:49:00,40.08,40.08,40.08,40.08,9866,9866,0,
20180102 09:30:00,40.21,40.21,40.01,40.01,60139,48189,0,
20180102 09:31:00,40.07,40.09,40.01,40.08,61540,1300,0,
20180102 09:32:00,40.0822,40.17,40.0822,40.1111,64605,2903,0,
20180102 09:33:00,40.12,40.12,40.11,40.11,65605,900,0,
20180102 09:34:00,40.09,40.1,40.08,40.1,66982,1228,0,
20180102 09:35:00,40.09,40.09,40.04,40.04,70449,3400,0,
20180102 09:36:00,40.03,40.05,39.88,39.9,104935,32885,0,
20180102 09:37:00,39.89,39.89,39.83,39.88,114920,9365,0,
20180102 09:38:00,39.8729,39.94,39.85,39.94,122083,6898,0,
20180102 09:39:00,39.93,39.9432,39.92,39.93,126453,4037,0,
20180102 09:40:00,39.95,39.96,39.8688,39.87,136391,8795,0,
20180102 09:41:00,39.86,39.865,39.81,39.82,145161,8268,0,
20180102 09:42:00,39.84,39.84,39.77,39.8,162322,16055,0,
20180102 09:43:00,39.8,39.801,39.7,39.725,180272,16973,0,
20180102 09:44:00,39.71,39.76,39.7,39.75,192081,11223,0,
20180102 09:45:00,39.77,39.77,39.75,39.76,195247,2727,0,
20180102 09:46:00,39.77,39.81,39.77,39.81,198845,3264,0,
20180102 09:47:00,39.83,39.83,39.79,39.8,205218,6168,0,
20180102 09:48:00,39.78,39.78,39.75,39.76,212127,6436,0,
20180102 09:49:00,39.76,39.765,39.73,39.73,215685,3146,0,
20180102 09:50:00,39.7438,39.7738,39.73,39.7738,223508,7285,0,
20180102 09:51:00,39.77,39.775,39.76,39.76,225005,1209,0,
20180102 09:52:00,39.765,39.78,39.765,39.77,230265,4615,0,
20180102 09:53:00,39.77,39.77,39.75,39.75,235257,4876,0,
20180102 09:54:00,39.76,39.77,39.74,39.74,246427,10505,0,
20180102 09:55:00,39.74,39.76,39.7368,39.76,251032,4251,0,
20180102 09:56:00,39.76,39.77,39.75,39.75,254153,2750,0,
20180102 09:57:00,39.74,39.74,39.66,39.66,268450,14054,0,
20180102 09:58:00,39.66,39.6693,39.62,39.6428,287558,18073,0,
20180102 09:59:00,39.65,39.66,39.63,39.66,297397,9428,0,
20180102 10:00:00,39.6692,39.76,39.6627,39.72,312368,14134,0,
20180102 10:01:00,39.74,39.74,39.69,39.71,326911,14095,0,
20180102 10:02:00,39.705,39.7469,39.705,39.74,333620,6562,0,
20180102 10:03:00,39.735,39.739,39.73,39.73,338858,5090,0,
20180102 10:04:00,39.739,39.74,39.7201,39.74,341481,2603,0,
20180102 10:05:00,39.73,39.74,39.72,39.73,344181,2300,0,
20180102 10:06:00,39.74,39.8,39.74,39.79,355191,10133,0,
20180102 10:07:00,39.79,39.83,39.79,39.83,359564,4017,0,
20180102 10:08:00,39.83,39.84,39.79,39.79,373588,12809,0,
20180102 10:09:00,39.8,39.81,39.79,39.81,378275,4389,0,
20180102 10:10:00,39.7935,39.8057,39.78,39.8057,397258,18223,0,
20180102 10:11:00,39.81,39.82,39.81,39.82,404038,6381,0,
20180102 10:12:00,39.8124,39.825,39.8,39.8,434996,30494,0,
20180102 10:13:00,39.81,39.81,39.79,39.8,447449,12303,0,
20180102 10:14:00,39.8,39.83,39.8,39.825,456639,8828,0,
20180102 10:15:00,39.83,39.89,39.83,39.88,463542,6554,0,
20180102 10:16:00,39.8761,39.9,39.8761,39.9,474011,10469,0,
20180102 10:17:00,39.8995,39.91,39.88,39.89,479178,4764,0,
20180102 10:18:00,39.8866,39.9,39.865,39.9,486162,6464,0,
20180102 10:19:00,39.9,39.92,39.89,39.92,491777,5536,0,
20180102 10:20:00,39.92,39.94,39.92,39.9399,497670,5082,0,
20180102 10:21:00,39.93,39.95,39.92,39.95,499053,1040,0,
20180102 10:22:00,39.94,39.94,39.9,39.93,505587,5585,0,
20180102 10:23:00,39.94,39.94,39.91,39.91,507915,1996,0,
20180102 10:24:00,39.92,39.94,39.92,39.93,513869,5583,0,
20180102 10:25:00,39.925,39.93,39.87,39.88,522677,7769,0,
20180102 10:26:00,39.89,39.89,39.8772,39.8772,532487,9679,0,
