TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:00:00,3.22,3.22,3.22,3.22,100,100,0,
20180102 09:30:00,3.22,3.22,3.21,3.21,1567,1467,0,
20180102 09:32:00,3.2269,3.2269,3.2269,3.2269,3067,1500,0,
20180102 09:35:00,3.25,3.25,3.25,3.25,3481,275,0,
20180102 09:36:00,3.25,3.25,3.25,3.25,4031,500,0,
20180102 09:38:00,3.2949,3.3,3.2949,3.3,6031,2000,0,
20180102 09:39:00,3.24,3.24,3.24,3.24,6131,100,0,
20180102 09:42:00,3.2572,3.2572,3.2572,3.2572,6236,100,0,
20180102 09:48:00,3.26,3.26,3.25,3.25,6978,700,0,
20180102 09:55:00,3.2401,3.25,3.24,3.24,8287,1280,0,
20180102 09:57:00,3.3,3.3,3.2616,3.2616,9287,1000,0,
20180102 09:58:00,3.22,3.22,3.2,3.2,9521,200,0,
20180102 10:00:00,3.283,3.283,3.283,3.283,9696,175,0,
20180102 10:02:00,3.2925,3.2925,3.28,3.28,9998,300,0,
20180102 10:04:00,3.2795,3.2795,3.26,3.26,10398,400,0,
20180102 10:18:00,3.28,3.28,3.28,3.28,11098,700,0,
20180102 10:24:00,3.26,3.2601,3.26,3.26,11823,700,0,
20180102 10:26:00,3.2742,3.2742,3.26,3.26,12923,1100,0,
20180102 10:27:00,3.2629,3.2629,3.2629,3.2629,13423,500,0,
20180102 10:30:00,3.2799,3.2799,3.26,3.27,17023,3600,0,
20180102 10:31:00,3.2799,3.2799,3.2799,3.2799,17523,500,0,
20180102 10:32:00,3.28,3.29,3.27,3.28,20123,2600,0,
20180102 10:42:00,3.282,3.282,3.282,3.282,20423,294,0,
20180102 10:44:00,3.28,3.28,3.28,3.28,20523,100,0,
20180102 10:47:00,3.2989,3.3,3.26,3.27,27423,6900,0,
20180102 10:48:00,3.27,3.28,3.27,3.28,28823,1400,0,
20180102 10:49:00,3.2801,3.2801,3.28,3.28,29049,200,0,
20180102 10:50:00,3.27,3.27,3.27,3.27,29149,100,0,
20180102 10:55:00,3.28,3.28,3.28,3.28,29588,400,0,
20180102 10:56:00,3.278,3.278,3.278,3.278,29788,200,0,
20180102 11:02:00,3.28,3.29,3.28,3.29,30089,200,0,
20180102 11:03:00,3.28,3.2841,3.28,3.2841,30489,400,0,
20180102 11:05:00,3.2999,3.2999,3.2999,3.2999,31350,861,0,
20180102 11:07:00,3.3,3.3,3.3,3.3,31450,100,0,
20180102 11:09:00,3.28,3.28,3.28,3.28,31650,200,0,
20180102 11:15:00,3.3,3.3,3.3,3.3,31750,100,0,
20180102 11:16:00,3.3,3.3,3.29,3.3,33450,1700,0,
20180102 11:22:00,3.28,3.2814,3.28,3.2814,33809,300,0,
20180102 11:24:00,3.28,3.29,3.28,3.28,34410,600,0,
20180102 11:25:00,3.2899,3.29,3.2899,3.29,34660,250,0,
20180102 11:26:00,3.29,3.29,3.29,3.29,34760,100,0,
20180102 11:36:00,3.29,3.29,3.284,3.284,36760,2000,0,
20180102 11:37:00,3.29,3.29,3.29,3.29,37760,1000,0,
20180102 11:38:00,3.2818,3.2818,3.2818,3.2818,39260,1500,0,
20180102 11:39:00,3.28,3.3,3.28,3.3,39560,300,0,
20180102 11:41:00,3.29,3.29,3.28,3.28,39760,200,0,
20180102 11:44:00,3.29,3.29,3.29,3.29,39860,100,0,
