TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,4.4,4.45,4.4,4.405,7026,7019,0,
20180102 09:31:00,4.425,4.425,4.405,4.405,18526,8500,0,
20180102 09:36:00,4.425,4.425,4.4,4.4,19984,1400,0,
20180102 09:38:00,4.425,4.425,4.4,4.4,28486,8402,0,
20180102 09:39:00,4.4,4.4,4.375,4.375,37893,9236,0,
20180102 09:40:00,4.35,4.35,4.35,4.35,38093,200,0,
20180102 09:41:00,4.35,4.35,4.3,4.3,54917,16820,0,
20180102 09:42:00,4.3,4.3,4.3,4.3,55117,200,0,
20180102 09:43:00,4.3,4.33,4.3,4.33,56031,894,0,
20180102 09:44:00,4.319,4.325,4.3,4.325,57266,1200,0,
20180102 09:45:00,4.325,4.325,4.325,4.325,57766,400,0,
20180102 09:46:00,4.3,4.3808,4.3,4.35,77518,19686,0,
20180102 09:47:00,4.35,4.35,4.325,4.325,87618,10100,0,
20180102 09:48:00,4.35,4.35,4.35,4.35,87818,200,0,
20180102 09:50:00,4.325,4.325,4.3,4.3161,90718,2900,0,
20180102 09:51:00,4.325,4.325,4.325,4.325,90818,100,0,
20180102 09:52:00,4.325,4.325,4.325,4.325,91018,200,0,
20180102 09:56:00,4.31,4.31,4.31,4.31,91268,250,0,
20180102 09:58:00,4.35,4.35,4.325,4.325,98288,6939,0,
20180102 10:01:00,4.3,4.325,4.3,4.325,98488,200,0,
20180102 10:02:00,4.34,4.34,4.325,4.331,119588,21100,0,
20180102 10:03:00,4.34,4.3841,4.34,4.3841,170427,50800,0,
20180102 10:04:00,4.4,4.4,4.3702,4.3702,172127,1608,0,
20180102 10:10:00,4.375,4.375,4.375,4.375,173129,999,0,
20180102 10:11:00,4.369,4.369,4.369,4.369,174129,1000,0,
20180102 10:13:00,4.375,4.395,4.375,4.395,182129,8000,0,
20180102 10:18:00,4.375,4.375,4.375,4.375,182629,500,0,
20180102 10:20:00,4.3695,4.3695,4.3695,4.3695,182729,100,0,
20180102 10:21:00,4.38,4.38,4.355,4.355,183865,1136,0,
20180102 10:23:00,4.375,4.375,4.375,4.375,183965,100,0,
20180102 10:24:00,4.4,4.4,4.4,4.4,193388,9400,0,
20180102 10:25:00,4.425,4.425,4.425,4.425,193488,100,0,
20180102 10:26:00,4.44,4.44,4.44,4.44,198503,5000,0,
20180102 10:30:00,4.45,4.45,4.45,4.45,199033,500,0,
20180102 10:31:00,4.4255,4.4255,4.4255,4.4255,199333,300,0,
20180102 10:34:00,4.425,4.425,4.425,4.425,199433,100,0,
20180102 10:37:00,4.42,4.425,4.42,4.425,201588,2155,0,
20180102 10:41:00,4.405,4.405,4.405,4.405,208588,7000,0,
20180102 10:42:00,4.445,4.445,4.445,4.445,215588,7000,0,
20180102 10:43:00,4.45,4.45,4.425,4.425,217288,1700,0,
20180102 10:45:00,4.4,4.4299,4.4,4.4299,224489,7200,0,
20180102 10:46:00,4.4,4.4,4.4,4.4,224589,100,0,
20180102 10:49:00,4.45,4.45,4.4201,4.45,248880,23908,0,
20180102 10:51:00,4.475,4.5,4.475,4.5,249256,350,0,
20180102 10:57:00,4.475,4.475,4.405,4.4634,266475,17217,0,
20180102 11:02:00,4.45,4.45,4.45,4.45,266575,100,0,
20180102 11:03:00,4.45,4.45,4.45,4.45,267280,700,0,
20180102 11:04:00,4.46,4.46,4.46,4.46,269980,2600,0,
20180102 11:05:00,4.476,4.476,4.475,4.475,270390,410,0,
20180102 11:07:00,4.4973,4.4973,4.4973,4.4973,270507,117,0,
20180102 11:08:00,4.482,4.482,4.425,4.425,286451,15944,0,
20180102 11:09:00,4.425,4.45,4.425,4.44,301452,15000,0,
20180102 11:10:00,4.425,4.425,4.425,4.425,301552,100,0,
20180102 11:11:00,4.44,4.4805,4.425,4.46,340276,38700,0,
20180102 11:12:00,4.46,4.46,4.425,4.425,352476,12142,0,
20180102 11:13:00,4.43,4.43,4.425,4.425,353176,700,0,
20180102 11:14:00,4.4305,4.4305,4.4305,4.4305,354301,1125,0,
20180102 11:15:00,4.4255,4.4255,4.4255,4.4255,354453,100,0,
20180102 11:16:00,4.425,4.425,4.425,4.425,354598,100,0,
20180102 11:18:00,4.425,4.425,4.425,4.425,354758,160,0,
20180102 11:20:00,4.431,4.431,4.431,4.431,355758,1000,0,
20180102 11:22:00,4.4,4.4,4.4,4.4,355859,100,0,
20180102 11:25:00,4.425,4.425,4.425,4.425,355974,100,0,
20180102 11:26:00,4.45,4.45,4.45,4.45,357674,1700,0,
20180102 11:28:00,4.425,4.425,4.425,4.425,357974,300,0,
20180102 11:30:00,4.445,4.495,4.445,4.45,392282,34144,0,
20180102 11:31:00,4.45,4.45,4.45,4.45,393082,768,0,
20180102 11:33:00,4.5,4.5,4.45,4.45,394582,1500,0,
20180102 11:35:00,4.475,4.475,4.475,4.475,394682,100,0,
20180102 11:36:00,4.455,4.475,4.455,4.475,396882,2200,0,
20180102 11:37:00,4.475,4.475,4.475,4.475,397882,1000,0,
20180102 11:38:00,4.45,4.46,4.45,4.46,399382,1500,0,
20180102 11:39:00,4.45,4.45,4.425,4.425,400682,1300,0,
20180102 11:40:00,4.425,4.475,4.425,4.475,407417,6665,0,
20180102 11:44:00,4.5,4.5,4.5,4.5,407817,400,0,
20180102 11:45:00,4.5,4.5,4.5,4.5,408017,200,0,
20180102 11:49:00,4.475,4.475,4.475,4.475,408477,460,0,
20180102 11:52:00,4.4655,4.4655,4.4655,4.4655,409476,999,0,
20180102 11:53:00,4.45,4.45,4.45,4.45,409576,100,0,
20180102 11:55:00,4.5,4.5,4.5,4.5,409676,100,0,
20180102 11:56:00,4.475,4.49,4.45,4.45,413976,4300,0,
20180102 12:00:00,4.45,4.45,4.45,4.45,414176,200,0,
20180102 12:03:00,4.45,4.45,4.45,4.45,414276,100,0,
20180102 12:04:00,4.47,4.47,4.47,4.47,414476,200,0,
20180102 12:06:00,4.49,4.49,4.45,4.45,415976,1500,0,
20180102 12:08:00,4.4752,4.4752,4.4752,4.4752,416202,226,0,
20180102 12:10:00,4.45,4.45,4.45,4.45,416302,100,0,
20180102 12:13:00,4.45,4.45,4.45,4.45,416422,100,0,
20180102 12:15:00,4.45,4.475,4.45,4.475,416822,400,0,
20180102 12:16:00,4.45,4.45,4.45,4.45,416922,100,0,
20180102 12:20:00,4.45,4.475,4.45,4.475,417582,200,0,
20180102 12:23:00,4.45,4.45,4.45,4.45,417682,100,0,
20180102 12:26:00,4.475,4.5,4.45,4.5,423392,5670,0,
20180102 12:27:00,4.45,4.45,4.45,4.45,423492,100,0,
20180102 12:30:00,4.475,4.475,4.45,4.475,423792,300,0,
20180102 12:31:00,4.5,4.5,4.5,4.5,424792,1000,0,
20180102 12:33:00,4.5,4.5,4.5,4.5,424892,100,0,
20180102 12:34:00,4.45,4.45,4.45,4.45,424992,100,0,
20180102 12:38:00,4.45,4.475,4.45,4.475,425192,200,0,
20180102 12:41:00,4.45,4.45,4.45,4.45,425292,100,0,
20180102 12:42:00,4.475,4.475,4.475,4.475,425994,700,0,
20180102 12:43:00,4.5,4.5,4.5,4.5,426620,626,0,
