TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:29:00,33.68,33.68,33.68,33.68,200,200,0,
20180102 09:30:00,33.67,33.67,33.5,33.5,23975,23775,0,
20180102 09:31:00,33.63,33.63,33.03,33.05,34901,10390,0,
20180102 09:32:00,33.1278,33.35,32.73,32.76,39090,3472,0,
20180102 09:33:00,32.7603,32.7603,32.5,32.75,40140,965,0,
20180102 09:34:00,32.6402,32.6402,32.6402,32.6402,40386,100,0,
20180102 09:35:00,32.8,32.8,32.7222,32.7222,40659,200,0,
20180102 09:36:00,32.82,33.2,32.81,33.2,42973,2000,0,
20180102 09:38:00,33.025,33.025,33.01,33.01,43618,500,0,
20180102 09:39:00,33.0147,33.0147,32.94,32.94,44941,1250,0,
20180102 09:40:00,32.954,33.085,32.81,32.84,50064,4500,0,
20180102 09:41:00,32.94,32.95,32.89,32.89,50984,900,0,
20180102 09:42:00,32.8801,33.02,32.8801,33.02,55706,4637,0,
20180102 09:44:00,33,33.11,33,33.05,58229,2000,0,
20180102 09:45:00,33.14,33.2106,33,33,70897,12128,0,
20180102 09:46:00,33,33,32.96,32.99,73071,2100,0,
20180102 09:47:00,33.058,33.058,33.058,33.058,73221,100,0,
20180102 09:48:00,33.01,33.01,32.9769,32.9769,75290,1800,0,
20180102 09:49:00,32.98,32.98,32.9566,32.9566,75586,286,0,
20180102 09:50:00,33,33.01,33,33.01,76187,413,0,
20180102 09:51:00,32.93,33.02,32.93,33.02,78083,1700,0,
20180102 09:52:00,33.22,33.22,33.22,33.22,78193,100,0,
20180102 09:53:00,33.24,33.24,33.15,33.16,79103,800,0,
20180102 09:55:00,33.1353,33.1353,33.1353,33.1353,79553,400,0,
20180102 09:56:00,33.087,33.087,33.087,33.087,80053,500,0,
20180102 09:57:00,33.0883,33.0883,33.03,33.03,81053,1000,0,
20180102 09:58:00,33.076,33.076,32.88,32.88,83538,2050,0,
20180102 09:59:00,32.8423,32.92,32.8423,32.9,85554,2000,0,
20180102 10:00:00,32.99,32.99,32.99,32.99,85654,100,0,
20180102 10:01:00,33.035,33.035,33.035,33.035,85869,200,0,
20180102 10:02:00,33.0348,33.0348,33,33,86570,700,0,
20180102 10:03:00,33.04,33.04,33.04,33.04,86779,100,0,
20180102 10:04:00,33.03,33.08,33.03,33.08,87779,800,0,
20180102 10:05:00,33.03,33.049,33.03,33.049,88982,1200,0,
20180102 10:06:00,33.03,33.09,32.99,33.06,95773,6506,0,
20180102 10:07:00,33.09,33.09,32.81,32.9,97639,1600,0,
20180102 10:08:00,32.9476,33,32.94,33,103049,5075,0,
20180102 10:09:00,33.02,33.02,33.02,33.02,106549,3400,0,
20180102 10:10:00,33.025,33.025,32.99,33,109720,2500,0,
20180102 10:11:00,32.9753,32.9753,32.945,32.945,110320,600,0,
20180102 10:12:00,32.95,32.95,32.95,32.95,110620,300,0,
20180102 10:13:00,32.945,32.95,32.8167,32.87,114734,3909,0,
20180102 10:14:00,32.94,32.98,32.94,32.9415,116480,1494,0,
20180102 10:16:00,32.955,32.955,32.92,32.92,116700,200,0,
20180102 10:17:00,32.96,33.14,32.96,33.11,123452,6463,0,
20180102 10:18:00,33.135,33.18,33.07,33.18,125181,1500,0,
20180102 10:19:00,33.14,33.22,33.121,33.22,127456,2175,0,
20180102 10:20:00,33.22,33.27,33.175,33.27,129156,1600,0,
20180102 10:21:00,33.2744,33.2744,33.2744,33.2744,129656,500,0,
20180102 10:22:00,33.31,33.375,33.31,33.375,130483,800,0,
20180102 10:23:00,33.38,33.4,33.38,33.4,131083,600,0,
20180102 10:24:00,33.4,33.46,33.35,33.39,135088,3382,0,
20180102 10:25:00,33.48,33.55,33.38,33.55,148937,13700,0,
20180102 10:26:00,33.55,33.6628,33.55,33.6628,160687,11750,0,
20180102 10:27:00,33.73,33.9,33.7297,33.9,163037,2142,0,
20180102 10:28:00,33.86,33.86,33.82,33.86,163837,700,0,
20180102 10:29:00,33.86,33.91,33.842,33.91,164837,1000,0,
20180102 10:30:00,33.9,33.91,33.9,33.91,165049,200,0,
20180102 10:31:00,33.92,34.17,33.92,34.17,168006,2669,0,
20180102 10:32:00,34.16,34.16,33.92,33.99,171667,3366,0,
20180102 10:33:00,33.99,33.99,33.99,33.99,171877,200,0,
20180102 10:34:00,33.98,33.98,33.97,33.97,172177,200,0,
20180102 10:35:00,33.95,34.09,33.95,34.0899,181087,8900,0,
20180102 10:36:00,34.0629,34.0629,34.0629,34.0629,182087,1000,0,
20180102 10:37:00,34.035,34.09,34.035,34.09,182690,500,0,
