TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,78.95,78.95,78.815,78.815,3161,3136,0,
20180102 09:31:00,78.81,78.88,78.81,78.88,3940,700,0,
20180102 09:32:00,78.915,78.915,78.895,78.905,5189,1000,0,
20180102 09:33:00,78.9659,78.9659,78.9659,78.9659,5728,539,0,
20180102 09:34:00,79.075,79.075,78.9175,78.9175,6023,200,0,
20180102 09:37:00,79.04,79.09,79.03,79.09,6969,400,0,
20180102 09:39:00,78.99,78.99,78.99,78.99,7252,126,0,
20180102 09:40:00,79.0493,79.0493,79.0493,79.0493,7682,377,0,
20180102 09:43:00,79.05,79.05,79,79,8372,500,0,
20180102 09:45:00,79.045,79.07,78.86,78.86,11693,2500,0,
20180102 09:46:00,78.84,78.84,78.8,78.8,14250,2200,0,
20180102 09:47:00,78.745,78.745,78.63,78.63,17673,3144,0,
20180102 09:48:00,78.71,78.75,78.5401,78.5401,20133,2294,0,
20180102 09:49:00,78.57,78.57,78.57,78.57,20370,200,0,
20180102 09:50:00,78.55,78.55,78.55,78.55,20670,300,0,
20180102 09:51:00,78.67,78.71,78.52,78.55,23453,2500,0,
20180102 09:52:00,78.7199,78.7199,78.535,78.535,24070,617,0,
20180102 09:57:00,78.64,78.7,78.52,78.67,27822,3518,0,
20180102 09:58:00,78.52,78.6,78.26,78.375,35843,7652,0,
20180102 10:00:00,78.41,78.51,78.41,78.43,37225,963,0,
20180102 10:01:00,78.505,78.57,78.505,78.57,37756,437,0,
20180102 10:05:00,78.54,78.54,78.48,78.485,38575,500,0,
20180102 10:06:00,78.53,78.53,78.44,78.44,38789,200,0,
20180102 10:07:00,78.53,78.68,78.52,78.54,41684,2200,0,
20180102 10:08:00,78.58,78.65,78.5401,78.5401,45338,3200,0,
20180102 10:09:00,78.62,78.625,78.57,78.61,45838,400,0,
20180102 10:12:00,78.5917,78.5917,78.5917,78.5917,46145,200,0,
20180102 10:13:00,78.65,78.65,78.52,78.56,48179,1801,0,
20180102 10:14:00,78.61,78.61,78.61,78.61,48282,100,0,
20180102 10:17:00,78.39,78.39,78.39,78.39,48400,100,0,
20180102 10:18:00,78.485,78.485,78.485,78.485,48500,100,0,
20180102 10:20:00,78.47,78.47,78.43,78.43,48807,267,0,
20180102 10:21:00,78.4,78.7,78.4,78.56,53988,4000,0,
20180102 10:23:00,78.655,78.655,78.56,78.56,56438,2300,0,
20180102 10:26:00,78.62,78.63,78.56,78.63,72473,15900,0,
20180102 10:27:00,78.63,78.63,78.56,78.56,72882,400,0,
20180102 10:28:00,78.52,78.52,78.52,78.52,73021,100,0,
20180102 10:29:00,78.595,78.595,78.49,78.55,77590,4400,0,
20180102 10:30:00,78.45,78.6,78.44,78.595,78590,1000,0,
20180102 10:31:00,78.5775,78.6,78.52,78.5655,80273,1538,0,
20180102 10:32:00,78.5825,78.72,78.55,78.56,86582,5300,0,
20180102 10:34:00,78.5114,78.5114,78.5114,78.5114,86952,300,0,
20180102 10:37:00,78.6,78.6,78.6,78.6,87386,300,0,
20180102 10:38:00,78.59,78.59,78.59,78.59,87762,200,0,
20180102 10:39:00,78.585,78.64,78.585,78.64,88164,400,0,
20180102 10:40:00,78.58,78.7,78.58,78.635,90732,2300,0,
20180102 10:41:00,78.7,78.7,78.59,78.6,91635,600,0,
20180102 10:42:00,78.59,78.633,78.59,78.6,92760,1100,0,
20180102 10:43:00,78.56,78.56,78.56,78.56,93156,150,0,
20180102 10:46:00,78.61,78.63,78.61,78.63,107833,400,0,
20180102 10:47:00,78.56,78.6,78.56,78.6,108349,300,0,
20180102 10:48:00,78.5,78.565,78.44,78.515,111210,2800,0,
20180102 10:49:00,78.525,78.525,78.39,78.39,112016,500,0,
