TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:16:00,4.4,4.4,4.4,4.4,850,850,0,
20180102 09:29:00,4.43,4.43,4.4,4.4,1450,600,0,
20180102 09:30:00,4.59,4.6275,4.3541,4.4277,11891,10237,0,
20180102 09:31:00,4.45,4.4872,4.45,4.4872,12187,212,0,
20180102 09:34:00,4.47,4.48,4.47,4.48,14869,2572,0,
20180102 09:36:00,4.42,4.42,4.42,4.42,15070,150,0,
20180102 09:38:00,4.41,4.41,4.39,4.39,21375,6243,0,
20180102 09:39:00,4.4,4.44,4.33,4.3301,28929,7182,0,
20180102 09:40:00,4.2918,4.32,4.2918,4.32,29292,350,0,
20180102 09:41:00,4.2906,4.2906,4.29,4.29,29892,513,0,
20180102 09:42:00,4.26,4.26,4.18,4.2052,36570,6475,0,
20180102 09:43:00,4.18,4.24,4.18,4.23,40270,3700,0,
20180102 09:44:00,4.23,4.26,4.18,4.25,46820,6500,0,
20180102 09:45:00,4.2516,4.2516,4.2516,4.2516,46920,100,0,
20180102 09:47:00,4.26,4.26,4.25,4.25,48916,1900,0,
20180102 09:50:00,4.25,4.25,4.25,4.25,52218,3300,0,
20180102 09:51:00,4.27,4.27,4.23,4.23,53338,1100,0,
20180102 09:53:00,4.25,4.2548,4.25,4.2548,54596,1100,0,
20180102 09:54:00,4.23,4.2512,4.23,4.2512,54796,200,0,
20180102 09:55:00,4.27,4.308,4.27,4.308,54996,200,0,
20180102 09:57:00,4.28,4.3095,4.28,4.3,55497,400,0,
20180102 09:59:00,4.27,4.27,4.26,4.26,55697,200,0,
20180102 10:00:00,4.28,4.299,4.28,4.299,55900,200,0,
20180102 10:01:00,4.2704,4.28,4.27,4.27,56700,800,0,
20180102 10:02:00,4.27,4.27,4.2,4.2,59694,2800,0,
20180102 10:03:00,4.2,4.2,4.2,4.2,59994,200,0,
20180102 10:04:00,4.21,4.24,4.21,4.24,60394,400,0,
20180102 10:05:00,4.21,4.21,4.2,4.2,61654,1187,0,
20180102 10:06:00,4.24,4.24,4.225,4.24,63063,1306,0,
20180102 10:07:00,4.2685,4.2685,4.22,4.22,64673,1600,0,
20180102 10:08:00,4.23,4.23,4.23,4.23,67282,2528,0,
20180102 10:09:00,4.23,4.265,4.23,4.265,67482,200,0,
20180102 10:10:00,4.23,4.23,4.23,4.23,67582,100,0,
20180102 10:11:00,4.23,4.23,4.23,4.23,67782,200,0,
20180102 10:12:00,4.23,4.23,4.23,4.23,67888,100,0,
20180102 10:13:00,4.23,4.23,4.23,4.23,67993,100,0,
20180102 10:14:00,4.23,4.23,4.23,4.23,68093,100,0,
20180102 10:15:00,4.29,4.29,4.2312,4.2395,68526,429,0,
20180102 10:16:00,4.24,4.27,4.24,4.27,68726,200,0,
20180102 10:17:00,4.24,4.24,4.24,4.24,68926,200,0,
20180102 10:18:00,4.24,4.2416,4.22,4.22,69926,1000,0,
20180102 10:19:00,4.22,4.22,4.22,4.22,70426,500,0,
20180102 10:20:00,4.22,4.22,4.22,4.22,70627,200,0,
20180102 10:21:00,4.22,4.22,4.22,4.22,70827,200,0,
20180102 10:22:00,4.22,4.2204,4.22,4.2204,72723,1896,0,
20180102 10:23:00,4.22,4.2285,4.2,4.2,73524,600,0,
20180102 10:24:00,4.2294,4.23,4.21,4.229,74124,600,0,
20180102 10:25:00,4.2185,4.2185,4.2185,4.2185,74274,150,0,
20180102 10:26:00,4.21,4.21,4.21,4.21,74374,100,0,
20180102 10:27:00,4.2335,4.2335,4.22,4.2326,74824,400,0,
20180102 10:28:00,4.22,4.22,4.22,4.22,75175,200,0,
20180102 10:29:00,4.22,4.22,4.22,4.22,75278,100,0,
20180102 10:30:00,4.22,4.22,4.22,4.22,75378,100,0,
20180102 10:31:00,4.232,4.232,4.22,4.22,75780,400,0,
20180102 10:32:00,4.22,4.22,4.22,4.22,75880,100,0,
20180102 10:33:00,4.22,4.2305,4.22,4.2305,76280,400,0,
20180102 10:34:00,4.22,4.23,4.22,4.22,76907,600,0,
20180102 10:35:00,4.23,4.23,4.22,4.22,77108,200,0,
20180102 10:36:00,4.235,4.35,4.235,4.3101,79993,2855,0,
20180102 10:40:00,4.3554,4.36,4.3554,4.36,82173,2100,0,
20180102 10:41:00,4.36,4.36,4.36,4.36,82273,100,0,
20180102 10:42:00,4.33,4.365,4.33,4.365,82473,200,0,
20180102 10:43:00,4.3986,4.3999,4.34,4.3988,83605,1000,0,
20180102 10:44:00,4.3988,4.3988,4.34,4.3569,84347,700,0,
20180102 10:45:00,4.34,4.34,4.34,4.34,84447,100,0,
20180102 10:46:00,4.34,4.35,4.34,4.35,84647,200,0,
20180102 10:47:00,4.34,4.34,4.34,4.34,84747,100,0,
20180102 10:48:00,4.34,4.34,4.34,4.34,84847,100,0,
20180102 10:49:00,4.34,4.3487,4.32,4.32,85217,300,0,
20180102 10:50:00,4.32,4.32,4.32,4.32,85317,100,0,
20180102 10:51:00,4.3,4.3,4.3,4.3,85417,100,0,
20180102 10:52:00,4.3,4.3,4.3,4.3,85617,200,0,
20180102 10:53:00,4.3,4.3,4.3,4.3,85724,100,0,
20180102 10:54:00,4.3,4.3,4.3,4.3,85884,100,0,
20180102 10:55:00,4.3253,4.3253,4.31,4.31,86670,786,0,
20180102 10:56:00,4.35,4.35,4.3,4.3,86871,200,0,
20180102 10:57:00,4.3,4.3,4.3,4.3,87072,200,0,
