TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:08:00,117.5,117.5,117.5,117.5,100,100,0,
20180102 08:16:00,117.5,117.5,117.5,117.5,200,100,0,
20180102 08:43:00,117.5,117.5,117.5,117.5,300,100,0,
20180102 08:50:00,117.5,117.5,117.5,117.5,500,200,0,
20180102 09:07:00,117.4,117.4,117.4,117.4,700,200,0,
20180102 09:09:00,117.2,117.2,117.2,117.2,800,100,0,
20180102 09:23:00,117.2,117.2,117.2,117.2,900,100,0,
20180102 09:28:00,116.21,116.21,115.36,115.8,6502,5093,0,
20180102 09:29:00,115.82,116,115.82,116,10069,3567,0,
20180102 09:30:00,116.17,116.45,116.02,116.28,156941,140729,0,
20180102 09:31:00,116.27,116.45,116.04,116.195,171318,13071,0,
20180102 09:32:00,116.21,116.21,115.7101,115.805,181181,8892,0,
20180102 09:33:00,115.805,116.3399,115.78,116.185,189754,7600,0,
20180102 09:34:00,116.29,116.29,116.065,116.09,193948,3921,0,
20180102 09:35:00,116.13,116.13,115.85,115.9952,198879,4607,0,
20180102 09:36:00,116,116.015,115.74,115.8,223420,21373,0,
20180102 09:37:00,115.82,115.88,115.78,115.86,228413,4300,0,
20180102 09:38:00,115.825,115.88,115.77,115.85,230396,1500,0,
20180102 09:39:00,115.86,116.02,115.86,115.98,232879,1600,0,
20180102 09:40:00,116.04,116.2,115.94,116.07,237132,3621,0,
20180102 09:41:00,116.065,116.1,115.79,115.94,241592,4032,0,
20180102 09:42:00,115.87,115.98,115.81,115.9,250083,7427,0,
20180102 09:43:00,115.88,115.9,115.38,115.52,272285,19739,0,
20180102 09:44:00,115.66,115.66,115.42,115.48,278655,5214,0,
20180102 09:45:00,115.425,115.65,115.425,115.565,286760,5378,0,
20180102 09:46:00,115.62,115.66,115.565,115.65,289878,2357,0,
20180102 09:47:00,115.62,115.81,115.62,115.81,296476,5539,0,
20180102 09:48:00,115.79,115.83,115.74,115.83,300721,3300,0,
20180102 09:49:00,115.83,115.86,115.72,115.82,314430,11498,0,
20180102 09:50:00,115.76,115.81,115.734,115.77,319542,4271,0,
20180102 09:51:00,115.75,115.82,115.75,115.795,323934,3700,0,
20180102 09:52:00,115.8201,115.85,115.75,115.8,328265,2872,0,
20180102 09:53:00,115.79,115.84,115.7601,115.79,331347,2209,0,
20180102 09:54:00,115.78,115.81,115.69,115.79,352168,19800,0,
20180102 09:55:00,115.745,115.745,115.505,115.58,357498,4844,0,
20180102 09:56:00,115.58,115.6,115.42,115.48,362092,4208,0,
20180102 09:57:00,115.43,115.48,115.35,115.48,366780,3946,0,
20180102 09:58:00,115.48,115.5,115.47,115.47,368483,1141,0,
20180102 09:59:00,115.5,115.78,115.5,115.76,374280,3600,0,
20180102 10:00:00,115.765,115.87,115.67,115.73,380108,4430,0,
20180102 10:01:00,115.72,115.82,115.69,115.82,383053,2403,0,
20180102 10:02:00,115.84,115.84,115.7,115.7,390913,6794,0,
20180102 10:03:00,115.73,115.76,115.705,115.705,396026,4689,0,
20180102 10:04:00,115.72,115.72,115.69,115.72,397330,1200,0,
20180102 10:05:00,115.72,115.75,115.67,115.71,406365,8200,0,
20180102 10:06:00,115.72,115.72,115.67,115.7,413093,6500,0,
20180102 10:07:00,115.68,115.72,115.66,115.72,417914,4081,0,
20180102 10:08:00,115.74,115.755,115.73,115.74,421195,2200,0,
20180102 10:09:00,115.73,115.78,115.73,115.78,423054,1400,0,
20180102 10:10:00,115.81,115.85,115.81,115.835,425062,1700,0,
20180102 10:11:00,115.83,115.87,115.775,115.775,433099,6616,0,
20180102 10:12:00,115.77,115.81,115.77,115.81,435061,1400,0,
20180102 10:13:00,115.83,115.85,115.81,115.83,440594,4947,0,
20180102 10:14:00,115.8468,115.85,115.83,115.83,441379,746,0,
20180102 10:15:00,115.82,115.85,115.82,115.83,447651,5819,0,
20180102 10:16:00,115.84,115.85,115.771,115.771,452455,4063,0,
20180102 10:17:00,115.7768,115.82,115.75,115.82,453280,700,0,
20180102 10:18:00,115.76,115.83,115.76,115.83,457418,3279,0,
20180102 10:19:00,115.83,115.83,115.78,115.8,460215,2487,0,
20180102 10:20:00,115.795,115.85,115.795,115.82,466666,5165,0,
20180102 10:21:00,115.82,115.85,115.82,115.845,475918,8521,0,
20180102 10:22:00,115.86,115.86,115.75,115.75,494590,17676,0,
20180102 10:23:00,115.75,115.75,115.54,115.69,507500,10985,0,
20180102 10:24:00,115.69,115.75,115.67,115.67,510692,2250,0,
20180102 10:25:00,115.68,115.71,115.67,115.68,512780,1650,0,
20180102 10:26:00,115.67,115.69,115.65,115.65,514350,985,0,
20180102 10:27:00,115.65,115.7,115.65,115.7,515675,500,0,
20180102 10:28:00,115.69,115.77,115.69,115.77,521793,4700,0,
20180102 10:29:00,115.75,115.83,115.74,115.83,524695,2000,0,
20180102 10:30:00,115.86,115.89,115.85,115.85,541171,14726,0,
20180102 10:31:00,115.87,115.88,115.84,115.86,546091,3872,0,
20180102 10:32:00,115.87,115.87,115.84,115.84,547442,1052,0,
20180102 10:33:00,115.85,115.8636,115.83,115.8372,550114,1078,0,
20180102 10:34:00,115.8347,115.85,115.83,115.85,551330,963,0,
20180102 10:35:00,115.85,115.87,115.79,115.81,559055,7139,0,
20180102 10:36:00,115.81,115.84,115.79,115.79,562780,2900,0,
20180102 10:37:00,115.81,115.8215,115.5906,115.5906,566949,3318,0,
20180102 10:38:00,115.65,115.65,115.48,115.53,571817,3104,0,
20180102 10:39:00,115.56,115.61,115.56,115.6,574222,1618,0,
20180102 10:40:00,115.65,115.73,115.65,115.67,577368,2100,0,
20180102 10:41:00,115.72,115.73,115.71,115.73,578899,1483,0,
20180102 10:42:00,115.75,115.77,115.64,115.64,584007,4500,0,
20180102 10:43:00,115.626,115.64,115.5993,115.6,586718,2252,0,
20180102 10:44:00,115.63,115.64,115.61,115.63,589585,1605,0,
20180102 10:45:00,115.64,115.67,115.62,115.67,591699,1000,0,
20180102 10:46:00,115.68,115.68,115.64,115.645,593565,1695,0,
20180102 10:47:00,115.64,115.65,115.61,115.65,596920,2410,0,
20180102 10:48:00,115.66,115.71,115.66,115.71,597787,600,0,
20180102 10:49:00,115.71,115.76,115.7,115.7398,600520,1595,0,
20180102 10:50:00,115.7512,115.7571,115.7512,115.7571,601042,454,0,
20180102 10:51:00,115.76,115.77,115.73,115.745,602610,1200,0,
20180102 10:52:00,115.735,115.76,115.72,115.76,605289,2174,0,
20180102 10:53:00,115.77,115.8,115.77,115.8,607874,2300,0,
20180102 10:54:00,115.8,115.83,115.76,115.8087,614155,5300,0,
20180102 10:55:00,115.8,115.8,115.7828,115.7828,616061,951,0,
20180102 10:56:00,115.8142,115.8142,115.8,115.8,616890,718,0,
20180102 10:57:00,115.82,115.83,115.79,115.79,619369,2200,0,
20180102 10:58:00,115.8,115.85,115.8,115.85,621112,1400,0,
20180102 10:59:00,115.855,115.86,115.774,115.84,626671,4072,0,
20180102 11:00:00,115.85,115.86,115.81,115.85,631851,4295,0,
20180102 11:01:00,115.85,115.86,115.83,115.86,633852,1650,0,
20180102 11:02:00,115.82,115.83,115.81,115.83,634793,801,0,
20180102 11:03:00,115.84,115.85,115.81,115.81,637574,2300,0,
20180102 11:04:00,115.815,115.84,115.815,115.82,639328,1300,0,
20180102 11:05:00,115.83,115.83,115.7901,115.81,641347,1200,0,
20180102 11:06:00,115.8,115.82,115.79,115.79,643474,1600,0,
20180102 11:07:00,115.8012,115.8012,115.7876,115.795,645516,1594,0,
20180102 11:08:00,115.8099,115.82,115.7935,115.7935,649353,2974,0,
20180102 11:09:00,115.81,115.82,115.8,115.82,651373,1400,0,
20180102 11:10:00,115.83,115.85,115.83,115.83,653546,1731,0,
20180102 11:11:00,115.84,115.86,115.83,115.86,654593,600,0,
20180102 11:12:00,115.8537,115.87,115.84,115.85,657552,2600,0,
20180102 11:13:00,115.85,115.86,115.84,115.86,660047,2467,0,
20180102 11:14:00,115.87,115.87,115.8601,115.87,665270,4834,0,
20180102 11:15:00,115.86,115.87,115.7901,115.86,672498,6016,0,
20180102 11:16:00,115.85,115.95,115.83,115.92,675830,2272,0,
20180102 11:17:00,115.94,115.9601,115.9,115.9601,680589,3458,0,
20180102 11:18:00,115.94,116.01,115.923,116.01,682977,1662,0,
20180102 11:19:00,116.03,116.07,116.03,116.07,684897,1250,0,
20180102 11:20:00,116.1,116.1,116.0665,116.09,685588,381,0,
20180102 11:21:00,116.08,116.1,116.08,116.085,686673,1000,0,
20180102 11:22:00,116.085,116.12,116.06,116.1101,689406,2081,0,
20180102 11:23:00,116.19,116.19,116.114,116.114,693131,2660,0,
20180102 11:24:00,116.125,116.145,116.1224,116.1224,694789,1262,0,
20180102 11:25:00,116.1252,116.15,116.06,116.06,700223,4119,0,
20180102 11:26:00,116.09,116.11,116.045,116.045,701819,1100,0,
20180102 11:27:00,116.07,116.08,116.0632,116.0632,702833,500,0,
20180102 11:28:00,116.065,116.065,116,116.03,706049,1900,0,
20180102 11:29:00,116.024,116.06,116.024,116.035,706700,465,0,
20180102 11:30:00,116.011,116.0295,116.01,116.0295,707240,449,0,
20180102 11:31:00,116.01,116.04,116,116.04,711215,3065,0,
20180102 11:32:00,116.0214,116.09,116.0214,116.09,714183,2592,0,
20180102 11:33:00,116.085,116.13,116.085,116.1,716840,1500,0,
20180102 11:34:00,116.09,116.09,116.05,116.06,718865,1200,0,
20180102 11:35:00,116.065,116.065,116.02,116.02,721025,1511,0,
20180102 11:36:00,116.02,116.02,115.97,115.97,729742,7635,0,
20180102 11:37:00,115.96,115.98,115.95,115.96,731660,1300,0,
20180102 11:38:00,115.97,116,115.931,115.931,735247,2325,0,
20180102 11:40:00,115.92,115.97,115.92,115.97,736751,1000,0,
20180102 11:41:00,115.975,115.975,115.95,115.951,737917,908,0,
20180102 11:42:00,115.95,115.95,115.92,115.92,739881,1400,0,
20180102 11:43:00,115.91,115.91,115.85,115.88,742235,1436,0,
20180102 11:44:00,115.8401,115.87,115.8401,115.87,742681,275,0,
20180102 11:45:00,115.87,115.87,115.84,115.84,744245,1100,0,
20180102 11:46:00,115.815,115.86,115.815,115.86,746522,1700,0,
20180102 11:47:00,115.87,115.9,115.87,115.8701,748677,1900,0,
20180102 11:48:00,115.9,115.92,115.84,115.8842,752742,2659,0,
20180102 11:49:00,115.91,115.91,115.88,115.905,753593,650,0,
20180102 11:50:00,115.903,115.903,115.875,115.875,754425,472,0,
20180102 11:51:00,115.88,115.94,115.88,115.94,757030,2283,0,
20180102 11:52:00,115.94,115.94,115.88,115.88,759790,1924,0,
20180102 11:53:00,115.885,115.885,115.83,115.83,761581,900,0,
20180102 11:54:00,115.86,115.875,115.85,115.875,762465,700,0,
20180102 11:55:00,115.8733,115.8733,115.81,115.85,766196,2750,0,
20180102 11:56:00,115.86,115.86,115.8,115.8,768388,1536,0,
20180102 11:57:00,115.83,115.835,115.83,115.835,769158,700,0,
20180102 11:58:00,115.835,115.87,115.8032,115.83,771709,2001,0,
20180102 11:59:00,115.82,115.825,115.81,115.81,772845,622,0,
20180102 12:00:00,115.81,115.81,115.79,115.8,774654,1350,0,
20180102 12:01:00,115.81,115.81,115.795,115.795,775026,200,0,
20180102 12:02:00,115.81,115.96,115.795,115.91,792088,14284,0,
20180102 12:03:00,115.91,115.94,115.8601,115.915,803098,10397,0,
20180102 12:04:00,115.89,115.905,115.88,115.9,804163,700,0,
20180102 12:05:00,115.88,115.88,115.86,115.87,805888,1032,0,
20180102 12:06:00,115.85,115.87,115.8052,115.8052,809617,3300,0,
20180102 12:07:00,115.79,115.82,115.79,115.7961,811470,1400,0,
20180102 12:08:00,115.81,115.81,115.76,115.7861,812418,800,0,
20180102 12:09:00,115.82,115.82,115.73,115.731,816304,3700,0,
20180102 12:10:00,115.764,115.764,115.7,115.7196,817910,1277,0,
20180102 12:11:00,115.7,115.7,115.63,115.66,819811,1800,0,
20180102 12:12:00,115.67,115.68,115.59,115.669,834702,13882,0,
20180102 12:13:00,115.64,115.7,115.63,115.7,841490,6000,0,
20180102 12:14:00,115.71,115.71,115.66,115.67,849902,6723,0,
20180102 12:15:00,115.67,115.68,115.65,115.65,855269,4915,0,
20180102 12:16:00,115.655,115.67,115.64,115.645,858501,2800,0,
20180102 12:17:00,115.6505,115.66,115.62,115.64,862022,2970,0,
20180102 12:18:00,115.64,115.73,115.64,115.68,867404,4550,0,
20180102 12:19:00,115.68,115.68,115.65,115.67,868819,1192,0,
20180102 12:20:00,115.66,115.66,115.6,115.6,872560,2900,0,
20180102 12:21:00,115.61,115.63,115.6,115.61,875998,2200,0,
20180102 12:22:00,115.615,115.63,115.6,115.63,878434,1500,0,
20180102 12:23:00,115.64,115.655,115.64,115.655,879054,600,0,
20180102 12:24:00,115.64,115.64,115.55,115.57,885688,5584,0,
20180102 12:25:00,115.6,115.61,115.595,115.6,887607,1474,0,
20180102 12:26:00,115.6,115.6,115.5801,115.595,888045,300,0,
20180102 12:27:00,115.58,115.58,115.55,115.57,891991,3300,0,
20180102 12:28:00,115.57,115.58,115.5503,115.58,892816,400,0,
20180102 12:29:00,115.58,115.58,115.53,115.55,897738,4500,0,
20180102 12:30:00,115.55,115.55,115.51,115.51,899172,932,0,
20180102 12:31:00,115.51,115.51,115.49,115.5,900468,850,0,
20180102 12:32:00,115.5188,115.54,115.5,115.54,903371,1902,0,
20180102 12:33:00,115.55,115.59,115.55,115.59,906811,2877,0,
20180102 12:34:00,115.59,115.59,115.56,115.56,908017,900,0,
20180102 12:35:00,115.57,115.57,115.55,115.55,909135,367,0,
20180102 12:36:00,115.54,115.54,115.49,115.52,912727,2770,0,
20180102 12:37:00,115.5112,115.53,115.5,115.5,913277,550,0,
20180102 12:38:00,115.515,115.515,115.5,115.5,914429,800,0,
20180102 12:39:00,115.5,115.5,115.42,115.43,919195,4004,0,
20180102 12:40:00,115.43,115.48,115.415,115.47,923260,2965,0,
20180102 12:41:00,115.48,115.49,115.47,115.48,925275,1700,0,
20180102 12:42:00,115.4784,115.49,115.45,115.47,932894,6928,0,
20180102 12:43:00,115.47,115.54,115.46,115.51,934197,1000,0,
20180102 12:44:00,115.52,115.58,115.52,115.57,936044,1500,0,
20180102 12:45:00,115.56,115.565,115.54,115.54,937949,1358,0,
20180102 12:46:00,115.52,115.5399,115.52,115.53,939027,766,0,
20180102 12:47:00,115.5265,115.55,115.52,115.5388,942574,3068,0,
20180102 12:48:00,115.55,115.57,115.54,115.57,944372,1200,0,
20180102 12:49:00,115.56,115.6224,115.56,115.6224,947269,2260,0,
20180102 12:50:00,115.6225,115.68,115.6225,115.68,950542,2927,0,
20180102 12:51:00,115.66,115.68,115.65,115.68,952766,1900,0,
20180102 12:52:00,115.69,115.7,115.67,115.685,954617,1400,0,
20180102 12:53:00,115.67,115.685,115.64,115.65,958034,2449,0,
20180102 12:54:00,115.64,115.6453,115.58,115.58,960639,2369,0,
20180102 12:55:00,115.5802,115.61,115.57,115.61,962990,2000,0,
20180102 12:56:00,115.61,115.64,115.61,115.64,964986,1815,0,
20180102 12:57:00,115.63,115.63,115.59,115.6,966766,1500,0,
20180102 12:58:00,115.59,115.59,115.54,115.54,969236,1821,0,
20180102 12:59:00,115.54,115.56,115.53,115.53,971663,1850,0,
20180102 13:00:00,115.56,115.56,115.54,115.54,973359,1000,0,
20180102 13:01:00,115.55,115.55,115.51,115.51,974850,1129,0,
20180102 13:02:00,115.51,115.55,115.5,115.51,977829,2400,0,
20180102 13:03:00,115.5,115.53,115.49,115.5,984367,6045,0,
20180102 13:04:00,115.51,115.53,115.48,115.48,986596,1400,0,
20180102 13:05:00,115.48,115.48,115.45,115.45,989004,2161,0,
20180102 13:06:00,115.46,115.47,115.42,115.42,991993,2175,0,
20180102 13:07:00,115.42,115.49,115.42,115.49,993592,1300,0,
20180102 13:08:00,115.495,115.495,115.45,115.45,996165,1994,0,
20180102 13:09:00,115.46,115.48,115.45,115.46,997595,1000,0,
20180102 13:10:00,115.44,115.465,115.44,115.465,998124,310,0,
20180102 13:11:00,115.48,115.485,115.46,115.47,1000562,1900,0,
20180102 13:12:00,115.475,115.495,115.475,115.495,1001540,900,0,
20180102 13:13:00,115.5099,115.55,115.495,115.55,1004494,1824,0,
20180102 13:14:00,115.55,115.55,115.51,115.51,1006802,1900,0,
20180102 13:15:00,115.5,115.52,115.47,115.4801,1009517,2163,0,
20180102 13:16:00,115.48,115.48,115.47,115.47,1010524,900,0,
20180102 13:17:00,115.475,115.48,115.45,115.45,1014476,2498,0,
20180102 13:18:00,115.46,115.4772,115.43,115.44,1018432,3029,0,
20180102 13:19:00,115.44,115.46,115.42,115.43,1027341,8500,0,
20180102 13:20:00,115.44,115.45,115.43,115.44,1029428,1100,0,
20180102 13:21:00,115.421,115.421,115.41,115.41,1030478,800,0,
20180102 13:22:00,115.405,115.45,115.405,115.45,1032038,1300,0,
20180102 13:23:00,115.44,115.44,115.39,115.42,1037062,4149,0,
20180102 13:24:00,115.43,115.44,115.41,115.439,1039404,2103,0,
20180102 13:25:00,115.44,115.46,115.425,115.425,1045122,4249,0,
20180102 13:26:00,115.42,115.43,115.42,115.43,1046285,887,0,
20180102 13:27:00,115.44,115.45,115.4308,115.4308,1048486,1486,0,
20180102 13:28:00,115.435,115.46,115.43,115.46,1050441,1300,0,
20180102 13:29:00,115.45,115.46,115.42,115.45,1052591,1600,0,
20180102 13:30:00,115.44,115.44,115.42,115.4212,1053950,987,0,
20180102 13:31:00,115.41,115.4333,115.41,115.43,1055600,797,0,
20180102 13:32:00,115.435,115.44,115.43,115.43,1057585,1100,0,
20180102 13:33:00,115.4328,115.45,115.43,115.45,1059069,820,0,
20180102 13:34:00,115.47,115.5,115.46,115.5,1062377,2153,0,
20180102 13:35:00,115.49,115.49,115.46,115.48,1064139,1200,0,
20180102 13:36:00,115.47,115.47,115.46,115.46,1064586,300,0,
20180102 13:37:00,115.46,115.485,115.46,115.46,1067042,1609,0,
20180102 13:38:00,115.48,115.49,115.46,115.46,1069642,1703,0,
20180102 13:39:00,115.48,115.48,115.47,115.48,1070289,500,0,
20180102 13:40:00,115.48,115.505,115.48,115.5,1072472,1300,0,
20180102 13:41:00,115.505,115.51,115.5,115.51,1073056,400,0,
20180102 13:42:00,115.51,115.555,115.51,115.54,1076278,2447,0,
20180102 13:43:00,115.55,115.555,115.53,115.53,1077351,813,0,
20180102 13:44:00,115.52,115.53,115.51,115.52,1079656,1499,0,
20180102 13:45:00,115.5,115.5,115.495,115.495,1080571,400,0,
20180102 13:46:00,115.48,115.495,115.48,115.48,1081579,600,0,
20180102 13:47:00,115.49,115.49,115.46,115.46,1083311,1300,0,
20180102 13:48:00,115.46,115.475,115.46,115.46,1083905,500,0,
20180102 13:49:00,115.475,115.49,115.475,115.475,1084524,400,0,
20180102 13:50:00,115.475,115.475,115.46,115.46,1086360,1700,0,
20180102 13:51:00,115.465,115.465,115.39,115.4319,1090840,3774,0,
20180102 13:52:00,115.42,115.42,115.39,115.4,1093009,1750,0,
20180102 13:53:00,115.39,115.42,115.39,115.4,1096055,2600,0,
20180102 13:54:00,115.405,115.405,115.35,115.35,1099833,2600,0,
20180102 13:55:00,115.35,115.35,115.33,115.33,1102089,1200,0,
20180102 13:56:00,115.35,115.35,115.345,115.345,1103692,1300,0,
20180102 13:57:00,115.34,115.38,115.34,115.375,1106492,2210,0,
20180102 13:58:00,115.39,115.4,115.38,115.38,1108533,1554,0,
20180102 13:59:00,115.38,115.38,115.38,115.38,1109213,300,0,
20180102 14:00:00,115.38,115.38,115.33,115.33,1114817,4555,0,
20180102 14:01:00,115.32,115.41,115.32,115.41,1117993,1882,0,
20180102 14:02:00,115.4,115.49,115.4,115.44,1120168,1200,0,
20180102 14:03:00,115.47,115.4862,115.45,115.4862,1121660,1074,0,
20180102 14:04:00,115.475,115.475,115.465,115.465,1121871,200,0,
20180102 14:05:00,115.4668,115.5,115.46,115.46,1125432,2362,0,
20180102 14:06:00,115.45,115.465,115.45,115.465,1126571,800,0,
20180102 14:07:00,115.4597,115.4692,115.4597,115.465,1128263,1365,0,
20180102 14:08:00,115.47,115.54,115.47,115.54,1133485,4331,0,
20180102 14:09:00,115.58,115.63,115.57,115.58,1139797,5074,0,
20180102 14:10:00,115.61,115.61,115.58,115.58,1140286,200,0,
20180102 14:11:00,115.6099,115.6099,115.57,115.57,1144523,3254,0,
20180102 14:12:00,115.57,115.57,115.5,115.5001,1147089,1933,0,
20180102 14:13:00,115.515,115.57,115.515,115.57,1152367,4252,0,
20180102 14:14:00,115.57,115.62,115.57,115.59,1154566,1400,0,
20180102 14:15:00,115.59,115.62,115.59,115.5912,1157600,1826,0,
20180102 14:16:00,115.59,115.605,115.59,115.5954,1159621,1411,0,
20180102 14:17:00,115.59,115.6,115.58,115.595,1161274,1306,0,
20180102 14:18:00,115.5887,115.59,115.58,115.59,1163723,1622,0,
20180102 14:19:00,115.58,115.58,115.54,115.54,1165214,1400,0,
20180102 14:20:00,115.545,115.545,115.53,115.545,1166325,600,0,
20180102 14:21:00,115.54,115.54,115.52,115.52,1168680,1798,0,
20180102 14:22:00,115.52,115.52,115.515,115.515,1171818,3012,0,
20180102 14:23:00,115.53,115.61,115.53,115.59,1176805,3800,0,
20180102 14:24:00,115.61,115.63,115.6,115.6,1181227,3100,0,
20180102 14:25:00,115.6,115.6,115.57,115.58,1182494,500,0,
20180102 14:26:00,115.59,115.6105,115.59,115.61,1184434,1432,0,
20180102 14:27:00,115.62,115.62,115.61,115.618,1186901,1620,0,
20180102 14:28:00,115.63,115.64,115.63,115.63,1189406,1700,0,
20180102 14:29:00,115.65,115.65,115.62,115.6397,1191656,1859,0,
20180102 14:30:00,115.6189,115.64,115.61,115.64,1195084,2297,0,
20180102 14:31:00,115.635,115.66,115.635,115.66,1197791,1900,0,
20180102 14:32:00,115.67,115.69,115.66,115.66,1200243,1482,0,
20180102 14:33:00,115.66,115.68,115.66,115.68,1202456,1642,0,
20180102 14:34:00,115.67,115.67,115.63,115.65,1208260,4540,0,
20180102 14:35:00,115.62,115.62,115.6,115.6,1209590,500,0,
20180102 14:36:00,115.6,115.6,115.57,115.57,1211348,1300,0,
20180102 14:37:00,115.57,115.58,115.53,115.53,1213120,1534,0,
20180102 14:38:00,115.56,115.56,115.5301,115.5301,1213534,350,0,
20180102 14:39:00,115.53,115.5365,115.42,115.42,1219971,4826,0,
20180102 14:40:00,115.41,115.46,115.41,115.45,1224742,3942,0,
20180102 14:41:00,115.44,115.445,115.42,115.42,1226742,1681,0,
20180102 14:42:00,115.41,115.45,115.41,115.4201,1230679,2705,0,
20180102 14:43:00,115.43,115.4307,115.4,115.42,1233190,1865,0,
20180102 14:44:00,115.4,115.415,115.37,115.37,1235186,1600,0,
20180102 14:45:00,115.39,115.4,115.36,115.38,1237410,1509,0,
20180102 14:46:00,115.372,115.372,115.34,115.34,1239880,1909,0,
20180102 14:47:00,115.35,115.3501,115.32,115.34,1241367,1300,0,
20180102 14:48:00,115.32,115.335,115.32,115.32,1243026,1131,0,
20180102 14:49:00,115.271,115.29,115.26,115.2755,1245570,1800,0,
20180102 14:50:00,115.28,115.29,115.2708,115.28,1247801,1800,0,
20180102 14:51:00,115.28,115.29,115.25,115.27,1253672,4969,0,
20180102 14:52:00,115.2701,115.29,115.26,115.26,1258025,3978,0,
20180102 14:53:00,115.28,115.28,115.27,115.2738,1259138,457,0,
20180102 14:54:00,115.28,115.29,115.2782,115.28,1262849,2345,0,
20180102 14:55:00,115.29,115.33,115.29,115.29,1268921,3329,0,
20180102 14:56:00,115.3,115.3,115.2912,115.3,1269820,550,0,
20180102 14:57:00,115.295,115.31,115.29,115.305,1272297,1914,0,
20180102 14:58:00,115.305,115.32,115.2926,115.32,1275449,1934,0,
20180102 14:59:00,115.33,115.35,115.33,115.35,1277137,1004,0,
20180102 15:00:00,115.35,115.35,115.33,115.34,1277999,500,0,
20180102 15:01:00,115.35,115.47,115.35,115.465,1282691,3658,0,
