TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,43.64,43.64,43.64,43.64,299,299,0,
20180102 09:53:00,43.8835,43.8835,43.8835,43.8835,552,150,0,
20180102 10:00:00,43.8832,43.979,43.8832,43.979,1800,1248,0,
20180102 10:04:00,43.8845,43.8845,43.8845,43.8845,1916,116,0,
20180102 10:13:00,43.98,43.98,43.9478,43.9478,2161,242,0,
20180102 10:25:00,43.8989,43.8989,43.8989,43.8989,2291,130,0,
20180102 10:56:00,43.9897,44,43.9897,44,4352,2000,0,
20180102 11:06:00,44.08,44.08,44.08,44.08,4488,100,0,
20180102 11:08:00,44.0945,44.099,44.0945,44.099,4713,200,0,
20180102 11:09:00,44.1,44.1,44.1,44.1,5279,566,0,
20180102 11:11:00,44.033,44.033,44.033,44.033,5511,232,0,
20180102 11:34:00,44.05,44.05,44.05,44.05,5801,129,0,
20180102 11:48:00,44.05,44.05,44.05,44.05,6210,368,0,
20180102 12:32:00,44.125,44.125,44.125,44.125,6481,236,0,
20180102 12:34:00,44.1499,44.1499,44.1499,44.1499,6581,100,0,
20180102 12:49:00,44.15,44.15,44.15,44.15,6964,322,0,
20180102 13:18:00,44.16,44.2031,44.16,44.2031,7318,200,0,
20180102 13:21:00,44.18,44.18,44.18,44.18,7418,100,0,
20180102 13:22:00,44.17,44.17,44.17,44.17,7518,100,0,
20180102 13:57:00,44.285,44.285,44.285,44.285,7698,100,0,
20180102 14:01:00,44.32,44.32,44.2953,44.2953,7901,200,0,
20180102 14:04:00,44.274,44.274,44.274,44.274,8036,115,0,
20180102 14:13:00,44.32,44.32,44.2844,44.2844,8236,200,0,
20180102 14:30:00,44.2452,44.2452,44.2452,44.2452,9174,867,0,
20180102 14:35:00,44.2747,44.2747,44.2747,44.2747,9412,100,0,
20180102 14:37:00,44.231,44.231,44.231,44.231,9531,119,0,
20180102 15:01:00,44.276,44.276,44.276,44.276,10136,590,0,
20180102 15:03:00,44.2821,44.329,44.2821,44.329,10640,504,0,
20180102 15:11:00,44.32,44.32,44.32,44.32,10740,100,0,
20180102 15:13:00,44.3234,44.33,44.3234,44.33,11040,300,0,
20180102 15:15:00,44.258,44.258,44.258,44.258,11296,256,0,
20180102 15:28:00,44.299,44.299,44.299,44.299,11531,101,0,
20180102 15:46:00,44.33,44.33,44.33,44.33,11854,322,0,
20180102 15:48:00,44.5,44.5,44.5,44.5,12135,250,0,
20180102 15:56:00,44.43,44.43,44.43,44.43,12235,100,0,
20180102 15:58:00,44.44,44.44,44.44,44.44,12335,100,0,
