TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,7.55,7.55,7.55,7.55,1107,1107,0,
20180102 09:32:00,7.55,7.55,7.5,7.5,1407,300,0,
20180102 09:33:00,7.5,7.5,7.45,7.475,3807,2400,0,
20180102 09:34:00,7.475,7.475,7.475,7.475,4107,100,0,
20180102 09:35:00,7.475,7.475,7.475,7.475,4413,300,0,
20180102 09:37:00,7.475,7.6,7.46,7.55,16714,12200,0,
20180102 09:38:00,7.55,7.55,7.5,7.5,18101,1300,0,
20180102 09:39:00,7.525,7.55,7.5,7.55,18501,400,0,
20180102 09:42:00,7.55,7.55,7.55,7.55,18814,200,0,
20180102 09:46:00,7.575,7.65,7.56,7.65,32995,13500,0,
20180102 09:47:00,7.65,7.675,7.65,7.655,35478,2232,0,
20180102 09:48:00,7.7,7.7,7.675,7.7,35778,300,0,
20180102 09:49:00,7.7,7.7,7.675,7.675,36379,550,0,
20180102 09:50:00,7.655,7.695,7.65,7.65,37484,945,0,
20180102 09:51:00,7.65,7.65,7.65,7.65,37591,100,0,
20180102 09:52:00,7.65,7.65,7.55,7.55,41791,4100,0,
20180102 09:53:00,7.6,7.6,7.6,7.6,41891,100,0,
20180102 09:58:00,7.6,7.6,7.6,7.6,42701,600,0,
20180102 10:01:00,7.6,7.6,7.55,7.55,43151,300,0,
20180102 10:02:00,7.65,7.65,7.65,7.65,43251,100,0,
20180102 10:04:00,7.65,7.65,7.65,7.65,44352,1000,0,
20180102 10:05:00,7.6,7.6,7.55,7.55,50662,6135,0,
20180102 10:07:00,7.575,7.575,7.575,7.575,51062,100,0,
20180102 10:12:00,7.575,7.575,7.575,7.575,51784,500,0,
20180102 10:14:00,7.575,7.575,7.55,7.55,52212,400,0,
20180102 10:15:00,7.55,7.55,7.55,7.55,52312,100,0,
20180102 10:17:00,7.575,7.575,7.575,7.575,52512,100,0,
20180102 10:20:00,7.6,7.6,7.6,7.6,52729,100,0,
20180102 10:21:00,7.55,7.55,7.55,7.55,52952,100,0,
20180102 10:23:00,7.6,7.6,7.6,7.6,53152,200,0,
20180102 10:30:00,7.6,7.6,7.575,7.6,59167,4921,0,
20180102 10:31:00,7.65,7.65,7.65,7.65,59367,100,0,
20180102 10:34:00,7.6,7.6,7.6,7.6,60062,400,0,
20180102 10:37:00,7.65,7.65,7.65,7.65,60312,100,0,
20180102 10:40:00,7.55,7.65,7.55,7.65,101204,40500,0,
20180102 10:41:00,7.65,7.7,7.6,7.7,108562,7072,0,
20180102 10:43:00,7.65,7.65,7.65,7.65,109374,610,0,
20180102 10:44:00,7.65,7.65,7.65,7.65,109664,290,0,
20180102 10:45:00,7.65,7.7,7.65,7.7,110159,200,0,
20180102 10:47:00,7.65,7.675,7.6,7.625,115287,5021,0,
20180102 10:48:00,7.6,7.65,7.6,7.65,115787,500,0,
20180102 10:49:00,7.625,7.625,7.625,7.625,115897,100,0,
20180102 10:52:00,7.65,7.65,7.6,7.625,116599,600,0,
20180102 10:53:00,7.6,7.6,7.6,7.6,116699,100,0,
20180102 10:54:00,7.6249,7.6249,7.6,7.6,117100,400,0,
20180102 10:55:00,7.625,7.65,7.55,7.625,130411,12787,0,
20180102 10:58:00,7.6,7.65,7.6,7.625,154802,24133,0,
20180102 10:59:00,7.625,7.675,7.625,7.675,159145,4143,0,
20180102 11:00:00,7.65,7.675,7.65,7.675,159445,300,0,
20180102 11:03:00,7.675,7.675,7.675,7.675,159655,100,0,
20180102 11:05:00,7.65,7.65,7.65,7.65,159774,100,0,
20180102 11:06:00,7.65,7.65,7.65,7.65,159976,200,0,
20180102 11:07:00,7.675,7.675,7.65,7.65,160671,693,0,
20180102 11:08:00,7.65,7.65,7.65,7.65,160771,100,0,
20180102 11:10:00,7.65,7.65,7.65,7.65,160904,100,0,
20180102 11:11:00,7.68,7.68,7.68,7.68,161104,200,0,
20180102 11:13:00,7.675,7.675,7.675,7.675,161606,200,0,
20180102 11:18:00,7.65,7.65,7.65,7.65,162108,100,0,
20180102 11:19:00,7.7,7.7,7.7,7.7,162308,200,0,
20180102 11:21:00,7.65,7.65,7.65,7.65,162723,100,0,
20180102 11:22:00,7.675,7.7,7.6,7.7,173569,10351,0,
20180102 11:25:00,7.65,7.675,7.65,7.675,177906,4216,0,
20180102 11:26:00,7.7,7.7,7.65,7.65,178315,400,0,
20180102 11:27:00,7.65,7.65,7.65,7.65,178523,208,0,
20180102 11:28:00,7.65,7.65,7.6,7.6,182117,3592,0,
20180102 11:29:00,7.625,7.625,7.625,7.625,182217,100,0,
20180102 11:30:00,7.65,7.65,7.625,7.625,182917,700,0,
20180102 11:34:00,7.625,7.65,7.625,7.65,184419,1400,0,
20180102 11:35:00,7.6226,7.625,7.6226,7.625,184737,219,0,
20180102 11:37:00,7.625,7.65,7.6,7.6,196864,11802,0,
20180102 11:39:00,7.6,7.6,7.6,7.6,196976,100,0,
20180102 11:43:00,7.6,7.625,7.6,7.625,197491,400,0,
20180102 11:45:00,7.625,7.625,7.625,7.625,197851,260,0,
20180102 11:46:00,7.6,7.6,7.6,7.6,197957,100,0,
20180102 11:47:00,7.625,7.625,7.6,7.6,198168,200,0,
20180102 11:48:00,7.625,7.625,7.625,7.625,198598,400,0,
20180102 11:51:00,7.6,7.6,7.6,7.6,198700,100,0,
20180102 11:52:00,7.6,7.6,7.6,7.6,198900,100,0,
20180102 11:53:00,7.625,7.625,7.6,7.6,211240,11612,0,
20180102 11:54:00,7.6,7.6,7.6,7.6,211834,400,0,
20180102 11:56:00,7.625,7.625,7.625,7.625,212327,100,0,
20180102 11:58:00,7.625,7.625,7.625,7.625,212429,100,0,
20180102 11:59:00,7.625,7.625,7.6,7.6,212829,400,0,
20180102 12:01:00,7.625,7.65,7.6,7.625,216041,3100,0,
20180102 12:02:00,7.625,7.625,7.625,7.625,216141,100,0,
20180102 12:04:00,7.625,7.625,7.625,7.625,216551,300,0,
20180102 12:05:00,7.6,7.6,7.6,7.6,216652,100,0,
20180102 12:06:00,7.6,7.6,7.6,7.6,217152,500,0,
20180102 12:07:00,7.63,7.63,7.63,7.63,217452,300,0,
20180102 12:09:00,7.6,7.6,7.6,7.6,217554,100,0,
20180102 12:10:00,7.6,7.6,7.6,7.6,217654,100,0,
20180102 12:11:00,7.625,7.65,7.6,7.6,218321,600,0,
20180102 12:12:00,7.6309,7.6309,7.6309,7.6309,218541,220,0,
20180102 12:14:00,7.625,7.625,7.625,7.625,218746,100,0,
