TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,254.29,254.29,254.29,254.29,3685,3685,0,
20180102 09:31:00,254.01,254.1,253.78,253.78,4391,400,0,
20180102 09:33:00,253.81,253.81,253.81,253.81,4511,100,0,
20180102 09:34:00,253.13,253.13,253.13,253.13,4711,200,0,
20180102 09:35:00,253.35,253.35,253.35,253.35,4825,100,0,
20180102 09:36:00,253.21,253.21,252.67,252.68,7075,1600,0,
20180102 09:37:00,253.09,253.795,253.09,253.795,8881,1600,0,
20180102 09:38:00,254.21,254.21,254.21,254.21,9465,302,0,
20180102 09:44:00,254.78,254.785,254.53,254.57,10832,900,0,
20180102 09:45:00,254.575,254.59,254.542,254.542,11590,670,0,
20180102 09:46:00,254.6,254.6,254.6,254.6,11694,104,0,
20180102 09:48:00,254.29,254.61,253.47,254.57,20535,8000,0,
20180102 09:49:00,254.58,254.72,254.56,254.56,21909,1311,0,
20180102 09:50:00,254.445,254.445,254.445,254.445,22122,100,0,
20180102 09:53:00,254.435,254.85,254.4,254.4,23042,800,0,
20180102 09:54:00,254.84,254.84,254.84,254.84,23442,400,0,
20180102 09:55:00,254.265,254.62,254.265,254.62,23977,200,0,
20180102 09:57:00,254.24,254.24,254.24,254.24,24238,100,0,
20180102 09:58:00,254.54,254.55,254.54,254.55,27475,2817,0,
20180102 09:59:00,254.52,254.52,254.52,254.52,27617,100,0,
20180102 10:00:00,254.21,254.5,254.21,254.5,28748,798,0,
20180102 10:02:00,254.48,254.49,254.04,254.04,29057,300,0,
20180102 10:03:00,254.44,254.44,254.44,254.44,29157,100,0,
20180102 10:04:00,254.33,254.62,254.33,254.47,35600,5759,0,
20180102 10:05:00,254.71,254.87,254.71,254.715,36649,600,0,
20180102 10:06:00,254.96,254.98,254.96,254.98,37356,500,0,
20180102 10:07:00,255.12,255.12,255.02,255.02,37876,400,0,
20180102 10:08:00,255.03,255.03,255.03,255.03,37976,100,0,
20180102 10:09:00,254.85,254.97,254.81,254.97,41000,1864,0,
20180102 10:10:00,254.93,254.93,254.93,254.93,41119,100,0,
20180102 10:11:00,255.06,255.52,255.06,255.21,43059,1200,0,
20180102 10:12:00,255.4,255.4,255.4,255.4,43269,200,0,
20180102 10:13:00,255.5,255.5,255.5,255.5,43369,100,0,
20180102 10:14:00,255.26,255.33,255.23,255.33,44671,800,0,
20180102 10:16:00,255.49,255.49,255.29,255.29,45385,500,0,
20180102 10:17:00,255.16,255.16,255.16,255.16,45485,100,0,
20180102 10:18:00,255.35,255.41,255.12,255.4,47606,1700,0,
20180102 10:19:00,255.48,255.48,255.31,255.45,48961,1200,0,
20180102 10:20:00,255.57,255.65,255.55,255.55,49727,311,0,
