TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:49:00,104.83,104.83,104.83,104.83,10022,10022,0,
20180102 09:29:00,105.25,105.25,105.25,105.25,10122,100,0,
20180102 09:30:00,105.34,105.5,105.24,105.3,44191,31553,0,
20180102 09:31:00,105.3,105.3,105.1428,105.17,46160,1650,0,
20180102 09:32:00,105.14,105.23,105.14,105.225,47346,1100,0,
20180102 09:33:00,105.17,105.17,104.73,104.73,51831,3894,0,
20180102 09:34:00,104.73,104.7803,104.3861,104.44,56078,3476,0,
20180102 09:35:00,104.54,104.695,104.495,104.595,64040,6629,0,
20180102 09:36:00,104.6,104.79,104.55,104.79,64903,600,0,
20180102 09:37:00,104.88,105.01,104.88,105.01,65816,800,0,
20180102 09:38:00,105.01,105.11,104.77,104.95,76689,8661,0,
20180102 09:39:00,105.07,105.255,104.93,105.255,83835,6560,0,
20180102 09:40:00,105.29,105.42,105.18,105.19,89672,4723,0,
20180102 09:41:00,105.275,105.3047,105.14,105.22,92332,2198,0,
20180102 09:42:00,105.29,105.5,105.22,105.5,95944,2370,0,
20180102 09:43:00,105.42,105.42,105.22,105.31,98344,1505,0,
20180102 09:44:00,105.4,105.44,105.17,105.17,103860,4980,0,
20180102 09:45:00,105.225,105.45,105.2,105.26,111783,5029,0,
20180102 09:46:00,105.24,105.2899,105.21,105.24,114537,2072,0,
20180102 09:47:00,105.245,105.38,105.13,105.18,128477,11696,0,
20180102 09:48:00,105.12,105.125,105.08,105.08,129299,800,0,
20180102 09:49:00,105.14,105.165,105.03,105.09,135523,4700,0,
20180102 09:50:00,105.195,105.26,105.09,105.14,142624,5509,0,
20180102 09:51:00,105.21,105.3,105.16,105.16,150140,5759,0,
20180102 09:52:00,105.17,105.19,105.08,105.19,151808,1500,0,
20180102 09:53:00,105.16,105.25,105.095,105.23,157116,4300,0,
20180102 09:54:00,105.2,105.2,105.1,105.19,158780,1300,0,
20180102 09:55:00,105.1501,105.2,105.06,105.16,165223,4679,0,
20180102 09:56:00,105.19,105.22,105.12,105.14,169435,2900,0,
20180102 09:57:00,105.13,105.27,105.11,105.25,174410,3800,0,
20180102 09:58:00,105.24,105.42,105.1,105.3,191558,15546,0,
20180102 09:59:00,105.295,105.53,105.29,105.52,202413,7900,0,
20180102 10:00:00,105.46,105.57,105.43,105.5,206577,3500,0,
20180102 10:01:00,105.55,105.78,105.55,105.775,213984,5323,0,
20180102 10:02:00,105.76,105.86,105.66,105.86,216318,1800,0,
20180102 10:03:00,105.9,105.96,105.84,105.86,222365,5520,0,
20180102 10:04:00,105.885,105.885,105.885,105.885,222509,100,0,
20180102 10:05:00,105.86,105.92,105.79,105.83,228609,5800,0,
20180102 10:06:00,105.79,105.92,105.77,105.85,234109,4654,0,
20180102 10:07:00,105.94,105.94,105.89,105.89,236696,1900,0,
20180102 10:08:00,105.89,106.015,105.85,105.97,240313,3121,0,
20180102 10:09:00,106.02,106.06,105.85,105.89,268155,26140,0,
20180102 10:10:00,105.91,105.99,105.885,105.99,268723,400,0,
20180102 10:11:00,105.95,106.03,105.95,105.965,271034,1900,0,
20180102 10:12:00,105.99,106,105.94,105.99,272979,1106,0,
20180102 10:13:00,105.95,105.9556,105.92,105.95,274933,1400,0,
20180102 10:14:00,105.94,105.94,105.9,105.92,276689,1300,0,
20180102 10:15:00,105.97,105.99,105.94,105.94,277522,600,0,
20180102 10:16:00,105.94,105.94,105.7,105.745,288848,9651,0,
