TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,23.96,23.96,23.96,23.96,1207,1207,0,
20180102 09:33:00,23.95,23.97,23.95,23.95,6496,5172,0,
20180102 09:34:00,23.935,23.95,23.92,23.94,7316,800,0,
20180102 09:35:00,23.94,23.97,23.94,23.97,7626,300,0,
20180102 09:36:00,23.98,23.98,23.98,23.98,8126,500,0,
20180102 09:37:00,23.98,24.01,23.98,24.01,9526,1400,0,
20180102 09:38:00,24,24.02,24,24.0195,9926,400,0,
20180102 09:40:00,24,24,24,24,10026,100,0,
20180102 09:42:00,24,24,24,24,10226,100,0,
20180102 09:43:00,24,24.01,23.97,23.98,11029,800,0,
20180102 09:45:00,23.91,23.91,23.91,23.91,11129,100,0,
20180102 09:46:00,23.95,23.98,23.95,23.98,11829,600,0,
20180102 09:47:00,23.9278,23.9278,23.9278,23.9278,12332,493,0,
20180102 09:49:00,23.91,23.95,23.91,23.95,12831,400,0,
20180102 09:50:00,23.91,23.96,23.9,23.95,14508,1385,0,
20180102 09:52:00,23.94,23.94,23.92,23.92,14974,400,0,
20180102 09:53:00,23.92,23.92,23.92,23.92,15161,100,0,
20180102 09:54:00,23.91,23.94,23.91,23.94,15861,600,0,
20180102 09:55:00,23.92,23.93,23.9,23.91,22068,6000,0,
20180102 09:56:00,23.865,23.865,23.84,23.84,22368,300,0,
20180102 09:58:00,23.82,23.82,23.82,23.82,22468,100,0,
20180102 10:00:00,23.88,23.88,23.83,23.8447,23778,1090,0,
20180102 10:03:00,23.84,23.84,23.79,23.79,24218,200,0,
20180102 10:04:00,23.751,23.81,23.751,23.81,25378,1100,0,
20180102 10:05:00,23.77,23.78,23.75,23.76,26884,1500,0,
20180102 10:06:00,23.78,23.8,23.78,23.8,28895,1900,0,
20180102 10:07:00,23.8,23.8,23.8,23.8,29095,200,0,
20180102 10:09:00,23.83,23.83,23.83,23.83,29250,100,0,
20180102 10:10:00,23.83,23.85,23.805,23.85,36728,7273,0,
20180102 10:14:00,23.83,23.85,23.83,23.85,36928,200,0,
20180102 10:16:00,23.85,23.85,23.82,23.82,38044,800,0,
20180102 10:17:00,23.77,23.77,23.77,23.77,38308,200,0,
20180102 10:19:00,23.7306,23.79,23.7306,23.79,38527,219,0,
20180102 10:20:00,23.73,23.75,23.73,23.75,39851,1200,0,
20180102 10:21:00,23.75,23.76,23.75,23.76,40351,500,0,
20180102 10:23:00,23.77,23.77,23.77,23.77,40451,100,0,
20180102 10:24:00,23.77,23.77,23.77,23.77,40551,100,0,
20180102 10:26:00,23.7471,23.78,23.7471,23.78,40851,300,0,
20180102 10:27:00,23.79,23.79,23.76,23.76,41111,200,0,
20180102 10:28:00,23.76,23.76,23.76,23.76,41214,100,0,
20180102 10:30:00,23.75,23.76,23.73,23.73,41637,400,0,
20180102 10:33:00,23.72,23.72,23.67,23.67,43458,1519,0,
20180102 10:34:00,23.67,23.67,23.65,23.67,44158,700,0,
20180102 10:35:00,23.67,23.67,23.61,23.64,44774,615,0,
